4.17588e10	-2.7701043458212493e-13
4.245478e10	-2.796790533332973e-13
4.315076e10	-2.9817644874266024e-13
4.384674e10	-3.438140937088232e-13
4.454272e10	-4.2508494787448194e-13
4.52387e10	-5.476634576512341e-13
4.593467999999999e10	-7.144055562113075e-13
4.663065999999999e10	-9.253486634875599e-13
4.732663999999999e10	-1.1777116861743061e-12
4.802262e10	-1.4658950177264914e-12
4.87186e10	-1.7814805383547277e-12
4.941458e10	-2.1132316150418376e-12
5.011056e10	-2.4470931015213475e-12
5.080654e10	-2.7661913382890684e-12
