# -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# NMod      log(t)         H/He  log(L/Ls)  Log(Teff)    log(Tc)  log(rhoc)      Tmax     MTmax     M-cc      M-Hec      M-ce        L-pp       L-cno     L-3alfa       L-gra     He_sup   log(Tce)   Rce/Rtot      R/Rsun     log(g)     M/Msun        mdot     Lacc/L    log(tkh)   log(tacc)  t_conv_gl.  Mix.Len.
# -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
   321  7.00149903  0.71293E+00   0.258696   3.739204   6.941876   1.363269   0.00000   0.00000   0.00000   0.00000   2.36503  0.1080E-01  0.2194E-05  0.0000E+00  0.9892E+00   0.273993   6.384739   0.662045    1.493479   4.203372   1.300000  0.0000E+00   0.000000  0.6990E+01 -0.9900E+02   0.202077   1.760000
   322  7.00279715  0.71293E+00   0.260711   3.739588   6.942974   1.366980   0.00000   0.00000   0.00000   0.00000   2.36503  0.1097E-01  0.2326E-05  0.0000E+00  0.9890E+00   0.273993   6.386968   0.660756    1.494303   4.202894   1.300000  0.0000E+00   0.000000  0.6987E+01 -0.9900E+02   0.204977   1.760000
   323  7.00408208  0.71292E+00   0.262699   3.739966   6.944068   1.370665   0.00000   0.00000   0.00000   0.00000   2.36503  0.1115E-01  0.2465E-05  0.0000E+00  0.9888E+00   0.273993   6.389183   0.659473    1.495123   4.202417   1.300000  0.0000E+00   0.000000  0.6985E+01 -0.9900E+02   0.209185   1.760000
   324  7.00537061  0.71292E+00   0.264679   3.740342   6.945170   1.374373   0.00000   0.00000   0.00000   0.00000   2.36503  0.1133E-01  0.2614E-05  0.0000E+00  0.9887E+00   0.273993   6.391407   0.658182    1.495943   4.201940   1.300000  0.0000E+00   0.000000  0.6983E+01 -0.9900E+02   0.217835   1.760000
   325  7.00666832  0.71292E+00   0.266711   3.740724   6.946287   1.378118   0.00000   0.00000   0.00000   0.00000   2.37878  0.1152E-01  0.2773E-05  0.0000E+00  0.9885E+00   0.273993   6.376462   0.666216    1.496806   4.201440   1.300000  0.0000E+00   0.000000  0.6981E+01 -0.9900E+02   0.194415   1.760000
   326  7.00794219  0.71292E+00   0.268788   3.741111   6.947389   1.381805   0.00000   0.00000   0.00000   0.00000   2.37878  0.1170E-01  0.2939E-05  0.0000E+00  0.9883E+00   0.273993   6.378727   0.664904    1.497724   4.200907   1.300000  0.0000E+00   0.000000  0.6978E+01 -0.9900E+02   0.196755   1.760000
   327  7.00916499  0.71292E+00   0.270790   3.741481   6.948452   1.385355   0.00000   0.00000   0.00000   0.00000   2.37878  0.1188E-01  0.3108E-05  0.0000E+00  0.9881E+00   0.273993   6.380917   0.663630    1.498620   4.200388   1.300000  0.0000E+00   0.000000  0.6976E+01 -0.9900E+02   0.199858   1.760000
   328  7.01038335  0.71292E+00   0.272774   3.741848   6.949518   1.388905   0.00000   0.00000   0.00000   0.00000   2.37878  0.1207E-01  0.3288E-05  0.0000E+00  0.9879E+00   0.273993   6.383105   0.662357    1.499511   4.199871   1.300000  0.0000E+00   0.000000  0.6974E+01 -0.9900E+02   0.204539   1.760000
   329  7.01160816  0.71292E+00   0.274754   3.742214   6.950594   1.392484   0.00000   0.00000   0.00000   0.00000   2.37878  0.1226E-01  0.3480E-05  0.0000E+00  0.9877E+00   0.273993   6.385304   0.661075    1.500401   4.199356   1.300000  0.0000E+00   0.000000  0.6972E+01 -0.9900E+02   0.216050   1.760000
   330  7.01284156  0.71292E+00   0.276819   3.742592   6.951684   1.396100   0.00000   0.00000   0.00000   0.00000   2.39253  0.1245E-01  0.3685E-05  0.0000E+00  0.9875E+00   0.273993   6.369242   0.669625    1.501357   4.198803   1.300000  0.0000E+00   0.000000  0.6969E+01 -0.9900E+02   0.188301   1.760000
   331  7.01403329  0.71292E+00   0.278881   3.742966   6.952743   1.399606   0.00000   0.00000   0.00000   0.00000   2.39253  0.1264E-01  0.3895E-05  0.0000E+00  0.9874E+00   0.273993   6.371454   0.668338    1.502337   4.198236   1.300000  0.0000E+00   0.000000  0.6967E+01 -0.9900E+02   0.190600   1.760000
   332  7.01518579  0.71292E+00   0.280883   3.743328   6.953773   1.403007   0.00000   0.00000   0.00000   0.00000   2.39253  0.1283E-01  0.4110E-05  0.0000E+00  0.9872E+00   0.273993   6.373607   0.667083    1.503293   4.197684   1.300000  0.0000E+00   0.000000  0.6965E+01 -0.9900E+02   0.193598   1.760000
   333  7.01633432  0.71292E+00   0.282870   3.743688   6.954804   1.406405   0.00000   0.00000   0.00000   0.00000   2.39253  0.1302E-01  0.4338E-05  0.0000E+00  0.9870E+00   0.273993   6.375755   0.665829    1.504241   4.197136   1.300000  0.0000E+00   0.000000  0.6962E+01 -0.9900E+02   0.198000   1.760000
   334  7.01748700  0.71292E+00   0.284854   3.744048   6.955844   1.409824   0.00000   0.00000   0.00000   0.00000   2.39253  0.1321E-01  0.4580E-05  0.0000E+00  0.9868E+00   0.273992   6.377909   0.664571    1.505183   4.196592   1.300000  0.0000E+00   0.000000  0.6960E+01 -0.9900E+02   0.207521   1.760000
   335  7.01864610  0.71292E+00   0.286903   3.744418   6.956895   1.413273   0.00000   0.00000   0.00000   0.00000   2.40628  0.1341E-01  0.4838E-05  0.0000E+00  0.9866E+00   0.273992   6.360529   0.673732    1.506171   4.196022   1.300000  0.0000E+00   0.000000  0.6958E+01 -0.9900E+02   0.181462   1.760000
   336  7.01977437  0.71292E+00   0.288990   3.744791   6.957924   1.416637   0.00000   0.00000   0.00000   0.00000   2.40628  0.1360E-01  0.5103E-05  0.0000E+00  0.9864E+00   0.273992   6.362710   0.672463    1.507204   4.195427   1.300000  0.0000E+00   0.000000  0.6955E+01 -0.9900E+02   0.183527   1.760000
   337  7.02085310  0.71292E+00   0.290999   3.745150   6.958912   1.419862   0.00000   0.00000   0.00000   0.00000   2.40628  0.1379E-01  0.5371E-05  0.0000E+00  0.9862E+00   0.273992   6.364810   0.671238    1.508199   4.194853   1.300000  0.0000E+00   0.000000  0.6953E+01 -0.9900E+02   0.186117   1.760000
   338  7.02192415  0.71292E+00   0.292956   3.745500   6.959898   1.423074   0.00000   0.00000   0.00000   0.00000   2.40628  0.1398E-01  0.5653E-05  0.0000E+00  0.9860E+00   0.273992   6.366891   0.670026    1.509165   4.194298   1.300000  0.0000E+00   0.000000  0.6951E+01 -0.9900E+02   0.191026   1.760000
   339  7.02301579  0.71292E+00   0.294980   3.745864   6.960908   1.426357   0.00000   0.00000   0.00000   0.00000   2.40628  0.1418E-01  0.5956E-05  0.0000E+00  0.9858E+00   0.273992   6.369018   0.668783    1.510155   4.193728   1.300000  0.0000E+00   0.000000  0.6949E+01 -0.9900E+02   0.197063   1.760000
   340  7.02409220  0.71292E+00   0.296962   3.746221   6.961908   1.429603   0.00000   0.00000   0.00000   0.00000   2.40628  0.1438E-01  0.6273E-05  0.0000E+00  0.9856E+00   0.273992   6.371110   0.667561    1.511115   4.193176   1.300000  0.0000E+00   0.000000  0.6946E+01 -0.9900E+02   0.220222   1.760000
   341  7.02517559  0.71292E+00   0.299085   3.746600   6.962921   1.432881   0.00000   0.00000   0.00000   0.00000   2.42003  0.1458E-01  0.6609E-05  0.0000E+00  0.9854E+00   0.273992   6.352245   0.677411    1.512173   4.192568   1.300000  0.0000E+00   0.000000  0.6944E+01 -0.9900E+02   0.178447   1.760000
   342  7.02619360  0.71292E+00   0.301127   3.746963   6.963876   1.435969   0.00000   0.00000   0.00000   0.00000   2.42003  0.1477E-01  0.6941E-05  0.0000E+00  0.9852E+00   0.273992   6.354306   0.676213    1.513197   4.191980   1.300000  0.0000E+00   0.000000  0.6942E+01 -0.9900E+02   0.181469   1.760000
   343  7.02718854  0.71292E+00   0.303132   3.747322   6.964815   1.438997   0.00000   0.00000   0.00000   0.00000   2.42003  0.1496E-01  0.7283E-05  0.0000E+00  0.9850E+00   0.273992   6.356328   0.675037    1.514194   4.191408   1.300000  0.0000E+00   0.000000  0.6939E+01 -0.9900E+02   0.185877   1.760000
   344  7.02817863  0.71292E+00   0.305124   3.747680   6.965753   1.442017   0.00000   0.00000   0.00000   0.00000   2.42003  0.1515E-01  0.7642E-05  0.0000E+00  0.9848E+00   0.273992   6.358338   0.673867    1.515171   4.190848   1.300000  0.0000E+00   0.000000  0.6937E+01 -0.9900E+02   0.194622   1.760000
   345  7.02917035  0.71292E+00   0.307136   3.748042   6.966698   1.445051   0.00000   0.00000   0.00000   0.00000   2.42690  0.1535E-01  0.8021E-05  0.0000E+00  0.9846E+00   0.273992   6.349212   0.678535    1.516150   4.190287   1.300000  0.0000E+00   0.000000  0.6935E+01 -0.9900E+02   0.168394   1.760000
   346  7.03015377  0.71292E+00   0.309192   3.748413   6.967662   1.448104   0.00000   0.00000   0.00000   0.00000   2.42690  0.1555E-01  0.8423E-05  0.0000E+00  0.9844E+00   0.273992   6.351242   0.677359    1.517150   4.189714   1.300000  0.0000E+00   0.000000  0.6932E+01 -0.9900E+02   0.170993   1.760000
   347  7.03110856  0.71292E+00   0.311193   3.748776   6.968579   1.451041   0.00000   0.00000   0.00000   0.00000   2.42690  0.1574E-01  0.8827E-05  0.0000E+00  0.9843E+00   0.273992   6.353217   0.676214    1.518113   4.189163   1.300000  0.0000E+00   0.000000  0.6930E+01 -0.9900E+02   0.175162   1.760000
   348  7.03206059  0.71292E+00   0.313181   3.749138   6.969499   1.453976   0.00000   0.00000   0.00000   0.00000   2.42690  0.1593E-01  0.9250E-05  0.0000E+00  0.9841E+00   0.273992   6.355182   0.675076    1.519054   4.188624   1.300000  0.0000E+00   0.000000  0.6928E+01 -0.9900E+02   0.210964   1.760000
   349  7.03301651  0.71292E+00   0.315254   3.749515   6.970426   1.456930   0.00000   0.00000   0.00000   0.00000   2.43378  0.1613E-01  0.9696E-05  0.0000E+00  0.9839E+00   0.273992   6.345582   0.679969    1.520044   4.188059   1.300000  0.0000E+00   0.000000  0.6925E+01 -0.9900E+02   0.166066   1.760000
   350  7.03393674  0.71292E+00   0.317254   3.749880   6.971359   1.459836   0.00000   0.00000   0.00000   0.00000   2.43378  0.1633E-01  0.1016E-04  0.0000E+00  0.9837E+00   0.273991   6.347522   0.678850    1.520988   4.187519   1.300000  0.0000E+00   0.000000  0.6923E+01 -0.9900E+02   0.169209   1.760000
   351  7.03485500  0.71292E+00   0.319238   3.750244   6.972258   1.462688   0.00000   0.00000   0.00000   0.00000   2.43378  0.1652E-01  0.1064E-04  0.0000E+00  0.9835E+00   0.273991   6.349455   0.677736    1.521914   4.186991   1.300000  0.0000E+00   0.000000  0.6921E+01 -0.9900E+02   0.175742   1.760000
   352  7.03577845  0.71292E+00   0.321260   3.750615   6.973166   1.465565   0.00000   0.00000   0.00000   0.00000   2.44065  0.1672E-01  0.1114E-04  0.0000E+00  0.9833E+00   0.273991   6.339305   0.682888    1.522855   4.186454   1.300000  0.0000E+00   0.000000  0.6919E+01 -0.9900E+02   0.160865   1.760000
   353  7.03669000  0.71292E+00   0.323294   3.750988   6.974067   1.468412   0.00000   0.00000   0.00000   0.00000   2.44065  0.1692E-01  0.1165E-04  0.0000E+00  0.9831E+00   0.273991   6.341260   0.681767    1.523804   4.185912   1.300000  0.0000E+00   0.000000  0.6916E+01 -0.9900E+02   0.163257   1.760000
   354  7.03758461  0.71292E+00   0.325276   3.751353   6.974954   1.471213   0.00000   0.00000   0.00000   0.00000   2.44065  0.1712E-01  0.1219E-04  0.0000E+00  0.9829E+00   0.273991   6.343181   0.680665    1.524723   4.185389   1.300000  0.0000E+00   0.000000  0.6914E+01 -0.9900E+02   0.166944   1.760000
   355  7.03848544  0.71292E+00   0.327247   3.751717   6.975852   1.474041   0.00000   0.00000   0.00000   0.00000   2.44065  0.1733E-01  0.1275E-04  0.0000E+00  0.9827E+00   0.273991   6.345112   0.679559    1.525627   4.184874   1.300000  0.0000E+00   0.000000  0.6912E+01 -0.9900E+02   0.178896   1.760000
   356  7.03939780  0.71292E+00   0.329277   3.752088   6.976766   1.476913   0.00000   0.00000   0.00000   0.00000   2.44753  0.1754E-01  0.1336E-04  0.0000E+00  0.9825E+00   0.273991   6.334443   0.684949    1.526582   4.184330   1.300000  0.0000E+00   0.000000  0.6910E+01 -0.9900E+02   0.157452   1.760000
   357  7.04029481  0.71292E+00   0.331297   3.752459   6.977668   1.479743   0.00000   0.00000   0.00000   0.00000   2.44753  0.1774E-01  0.1398E-04  0.0000E+00  0.9822E+00   0.273991   6.336412   0.683826    1.527526   4.183793   1.300000  0.0000E+00   0.000000  0.6907E+01 -0.9900E+02   0.160043   1.760000
   358  7.04118108  0.71292E+00   0.333268   3.752822   6.978563   1.482548   0.00000   0.00000   0.00000   0.00000   2.44753  0.1796E-01  0.1462E-04  0.0000E+00  0.9820E+00   0.273991   6.338357   0.682717    1.528444   4.183272   1.300000  0.0000E+00   0.000000  0.6905E+01 -0.9900E+02   0.164299   1.760000
   359  7.04207832  0.71292E+00   0.335231   3.753183   6.979473   1.485394   0.00000   0.00000   0.00000   0.00000   2.45440  0.1817E-01  0.1531E-04  0.0000E+00  0.9818E+00   0.273991   6.327064   0.688391    1.529354   4.182755   1.300000  0.0000E+00   0.000000  0.6903E+01 -0.9900E+02   0.151792   1.760000
   360  7.04299048  0.71292E+00   0.337293   3.753559   6.980403   1.488295   0.00000   0.00000   0.00000   0.00000   2.45440  0.1840E-01  0.1604E-04  0.0000E+00  0.9816E+00   0.273991   6.329109   0.687232    1.530339   4.182196   1.300000  0.0000E+00   0.000000  0.6900E+01 -0.9900E+02   0.153763   1.760000
   361  7.04387331  0.71292E+00   0.339271   3.753919   6.981307   1.491109   0.00000   0.00000   0.00000   0.00000   2.45440  0.1862E-01  0.1679E-04  0.0000E+00  0.9814E+00   0.273991   6.331096   0.686103    1.531289   4.181656   1.300000  0.0000E+00   0.000000  0.6898E+01 -0.9900E+02   0.156492   1.760000
   362  7.04476434  0.71292E+00   0.341230   3.754274   6.982223   1.493954   0.00000   0.00000   0.00000   0.00000   2.45440  0.1885E-01  0.1758E-04  0.0000E+00  0.9811E+00   0.273991   6.333102   0.684965    1.532234   4.181121   1.300000  0.0000E+00   0.000000  0.6896E+01 -0.9900E+02   0.161336   1.760000
   363  7.04567210  0.71292E+00   0.343205   3.754632   6.983161   1.496860   0.00000   0.00000   0.00000   0.00000   2.46128  0.1909E-01  0.1843E-04  0.0000E+00  0.9809E+00   0.273991   6.321229   0.690893    1.533193   4.180577   1.300000  0.0000E+00   0.000000  0.6894E+01 -0.9900E+02   0.147867   1.760000
   364  7.04658945  0.71292E+00   0.345258   3.755000   6.984112   1.499805   0.00000   0.00000   0.00000   0.00000   2.46128  0.1933E-01  0.1933E-04  0.0000E+00  0.9807E+00   0.273990   6.323347   0.689697    1.534224   4.179993   1.300000  0.0000E+00   0.000000  0.6891E+01 -0.9900E+02   0.149945   1.760000
   365  7.04748107  0.71292E+00   0.347228   3.755350   6.985041   1.502674   0.00000   0.00000   0.00000   0.00000   2.46128  0.1957E-01  0.2026E-04  0.0000E+00  0.9804E+00   0.273990   6.325414   0.688527    1.535225   4.179427   1.300000  0.0000E+00   0.000000  0.6889E+01 -0.9900E+02   0.152887   1.760000
   366  7.04838481  0.71292E+00   0.349183   3.755697   6.985987   1.505590   0.00000   0.00000   0.00000   0.00000   2.46128  0.1982E-01  0.2125E-04  0.0000E+00  0.9802E+00   0.273990   6.327509   0.687342    1.536227   4.178860   1.300000  0.0000E+00   0.000000  0.6887E+01 -0.9900E+02   0.158611   1.760000
   367  7.04930710  0.71292E+00   0.351180   3.756049   6.986956   1.508573   0.00000   0.00000   0.00000   0.00000   2.46815  0.2008E-01  0.2231E-04  0.0000E+00  0.9799E+00   0.273990   6.315009   0.693537    1.537271   4.178270   1.300000  0.0000E+00   0.000000  0.6885E+01 -0.9900E+02   0.143919   1.760000
   368  7.05022888  0.71292E+00   0.353222   3.756404   6.987929   1.511562   0.00000   0.00000   0.00000   0.00000   2.46815  0.2034E-01  0.2343E-04  0.0000E+00  0.9796E+00   0.273990   6.317211   0.692296    1.538373   4.177647   1.300000  0.0000E+00   0.000000  0.6882E+01 -0.9900E+02   0.146137   1.760000
   369  7.05112991  0.71292E+00   0.355170   3.756740   6.988885   1.514491   0.00000   0.00000   0.00000   0.00000   2.46815  0.2060E-01  0.2458E-04  0.0000E+00  0.9794E+00   0.273990   6.319368   0.691078    1.539443   4.177044   1.300000  0.0000E+00   0.000000  0.6880E+01 -0.9900E+02   0.149543   1.760000
   370  7.05205317  0.71292E+00   0.357157   3.757082   6.989868   1.517500   0.00000   0.00000   0.00000   0.00000   2.46815  0.2088E-01  0.2582E-04  0.0000E+00  0.9791E+00   0.273990   6.321583   0.689826    1.540540   4.176425   1.300000  0.0000E+00   0.000000  0.6878E+01 -0.9900E+02   0.156935   1.760000
   371  7.05298043  0.71291E+00   0.359187   3.757428   6.990860   1.520530   0.00000   0.00000   0.00000   0.00000   2.47503  0.2116E-01  0.2714E-04  0.0000E+00  0.9788E+00   0.273990   6.308367   0.696325    1.541689   4.175777   1.300000  0.0000E+00   0.000000  0.6875E+01 -0.9900E+02   0.140166   1.760000
   372  7.05389198  0.71291E+00   0.361221   3.757770   6.991840   1.523517   0.00000   0.00000   0.00000   0.00000   2.47503  0.2144E-01  0.2850E-04  0.0000E+00  0.9785E+00   0.273990   6.310630   0.695050    1.542868   4.175113   1.300000  0.0000E+00   0.000000  0.6873E+01 -0.9900E+02   0.142531   1.760000
   373  7.05478639  0.71291E+00   0.363192   3.758100   6.992806   1.526455   0.00000   0.00000   0.00000   0.00000   2.47503  0.2172E-01  0.2991E-04  0.0000E+00  0.9783E+00   0.273990   6.312856   0.693793    1.544023   4.174463   1.300000  0.0000E+00   0.000000  0.6871E+01 -0.9900E+02   0.146081   1.760000
   374  7.05569228  0.71291E+00   0.365156   3.758429   6.993788   1.529436   0.00000   0.00000   0.00000   0.00000   2.47503  0.2201E-01  0.3142E-04  0.0000E+00  0.9780E+00   0.273990   6.315107   0.692521    1.545179   4.173813   1.300000  0.0000E+00   0.000000  0.6868E+01 -0.9900E+02   0.155506   1.760000
   375  7.05661254  0.71291E+00   0.367216   3.758769   6.994790   1.532470   0.00000   0.00000   0.00000   0.00000   2.48190  0.2230E-01  0.3303E-04  0.0000E+00  0.9777E+00   0.273990   6.301049   0.699379    1.546426   4.173113   1.300000  0.0000E+00   0.000000  0.6866E+01 -0.9900E+02   0.136089   1.760000
   376  7.05750438  0.71291E+00   0.369220   3.759095   6.995766   1.535419   0.00000   0.00000   0.00000   0.00000   2.48190  0.2260E-01  0.3468E-04  0.0000E+00  0.9774E+00   0.273990   6.303351   0.698084    1.547670   4.172414   1.300000  0.0000E+00   0.000000  0.6864E+01 -0.9900E+02   0.138578   1.760000
   377  7.05839250  0.71291E+00   0.371211   3.759419   6.996741   1.538362   0.00000   0.00000   0.00000   0.00000   2.48190  0.2289E-01  0.3641E-04  0.0000E+00  0.9771E+00   0.273989   6.305648   0.696790    1.548907   4.171720   1.300000  0.0000E+00   0.000000  0.6861E+01 -0.9900E+02   0.142337   1.760000
   378  7.05928290  0.71291E+00   0.373176   3.759739   6.997724   1.541320   0.00000   0.00000   0.00000   0.00000   2.48190  0.2320E-01  0.3824E-04  0.0000E+00  0.9768E+00   0.273989   6.307945   0.695494    1.550131   4.171034   1.300000  0.0000E+00   0.000000  0.6859E+01 -0.9900E+02   0.153350   1.760000
   379  7.06018732  0.71291E+00   0.375257   3.760073   6.998726   1.544332   0.00000   0.00000   0.00000   0.00000   2.48878  0.2351E-01  0.4019E-04  0.0000E+00  0.9765E+00   0.273989   6.292902   0.702772    1.551460   4.170289   1.300000  0.0000E+00   0.000000  0.6857E+01 -0.9900E+02   0.131838   1.760000
   380  7.06105474  0.71291E+00   0.377277   3.760395   6.999691   1.547228   0.00000   0.00000   0.00000   0.00000   2.48878  0.2381E-01  0.4216E-04  0.0000E+00  0.9761E+00   0.273989   6.295234   0.701464    1.552767   4.169558   1.300000  0.0000E+00   0.000000  0.6854E+01 -0.9900E+02   0.134258   1.760000
   381  7.06191178  0.71291E+00   0.379251   3.760710   7.000649   1.550094   0.00000   0.00000   0.00000   0.00000   2.48878  0.2412E-01  0.4421E-04  0.0000E+00  0.9758E+00   0.273989   6.297537   0.700169    1.554047   4.168842   1.300000  0.0000E+00   0.000000  0.6852E+01 -0.9900E+02   0.137890   1.760000
   382  7.06277814  0.71291E+00   0.381217   3.761024   7.001622   1.552996   0.00000   0.00000   0.00000   0.00000   2.48878  0.2443E-01  0.4640E-04  0.0000E+00  0.9755E+00   0.273989   6.299857   0.698865    1.555321   4.168131   1.300000  0.0000E+00   0.000000  0.6850E+01 -0.9900E+02   0.147498   1.760000
   383  7.06365798  0.71291E+00   0.383282   3.761348   7.002614   1.555951   0.00000   0.00000   0.00000   0.00000   2.49565  0.2476E-01  0.4873E-04  0.0000E+00  0.9752E+00   0.273989   6.283650   0.706642    1.556695   4.167364   1.300000  0.0000E+00   0.000000  0.6847E+01 -0.9900E+02   0.127201   1.760000
   384  7.06450845  0.71291E+00   0.385335   3.761671   7.003577   1.558813   0.00000   0.00000   0.00000   0.00000   2.49565  0.2507E-01  0.5110E-04  0.0000E+00  0.9749E+00   0.273989   6.286029   0.705314    1.558065   4.166600   1.300000  0.0000E+00   0.000000  0.6845E+01 -0.9900E+02   0.129499   1.760000
   385  7.06533514  0.71291E+00   0.387310   3.761981   7.004517   1.561602   0.00000   0.00000   0.00000   0.00000   2.49565  0.2538E-01  0.5352E-04  0.0000E+00  0.9746E+00   0.273989   6.288340   0.704022    1.559381   4.165866   1.300000  0.0000E+00   0.000000  0.6842E+01 -0.9900E+02   0.132728   1.760000
   386  7.06617069  0.71291E+00   0.389274   3.762290   7.005472   1.564427   0.00000   0.00000   0.00000   0.00000   2.49565  0.2571E-01  0.5610E-04  0.0000E+00  0.9742E+00   0.273989   6.290664   0.702721    1.560685   4.165140   1.300000  0.0000E+00   0.000000  0.6840E+01 -0.9900E+02   0.139286   1.760000
   387  7.06702008  0.71291E+00   0.391307   3.762609   7.006446   1.567302   0.00000   0.00000   0.00000   0.00000   2.50253  0.2604E-01  0.5886E-04  0.0000E+00  0.9739E+00   0.273989   6.273069   0.711094    1.562049   4.164381   1.300000  0.0000E+00   0.000000  0.6838E+01 -0.9900E+02   0.122261   1.760000
   388  7.06785392  0.71291E+00   0.393391   3.762932   7.007406   1.570130   0.00000   0.00000   0.00000   0.00000   2.50253  0.2637E-01  0.6169E-04  0.0000E+00  0.9736E+00   0.273988   6.275494   0.709749    1.563469   4.163593   1.300000  0.0000E+00   0.000000  0.6835E+01 -0.9900E+02   0.124376   1.760000
   389  7.06865293  0.71291E+00   0.395370   3.763240   7.008330   1.572845   0.00000   0.00000   0.00000   0.00000   2.50253  0.2669E-01  0.6455E-04  0.0000E+00  0.9732E+00   0.273988   6.277820   0.708458    1.564815   4.162845   1.300000  0.0000E+00   0.000000  0.6833E+01 -0.9900E+02   0.127150   1.760000
   390  7.06945892  0.71291E+00   0.397333   3.763547   7.009266   1.575590   0.00000   0.00000   0.00000   0.00000   2.50253  0.2702E-01  0.6758E-04  0.0000E+00  0.9729E+00   0.273988   6.280155   0.707162    1.566145   4.162107   1.300000  0.0000E+00   0.000000  0.6830E+01 -0.9900E+02   0.131575   1.760000
   391  7.07027853  0.71291E+00   0.399291   3.763853   7.010222   1.578387   0.00000   0.00000   0.00000   0.00000   2.50253  0.2737E-01  0.7083E-04  0.0000E+00  0.9726E+00   0.273988   6.282514   0.705853    1.567466   4.161374   1.300000  0.0000E+00   0.000000  0.6828E+01 -0.9900E+02   0.149515   1.760000
   392  7.07111412  0.71291E+00   0.401428   3.764183   7.011201   1.581246   0.00000   0.00000   0.00000   0.00000   2.50940  0.2772E-01  0.7428E-04  0.0000E+00  0.9722E+00   0.273988   6.263440   0.714847    1.568941   4.160557   1.300000  0.0000E+00   0.000000  0.6826E+01 -0.9900E+02   0.120005   1.760000
   393  7.07189460  0.71291E+00   0.403441   3.764494   7.012118   1.583921   0.00000   0.00000   0.00000   0.00000   2.50940  0.2805E-01  0.7768E-04  0.0000E+00  0.9719E+00   0.273988   6.265810   0.713545    1.570330   4.159789   1.300000  0.0000E+00   0.000000  0.6823E+01 -0.9900E+02   0.123360   1.760000
   394  7.07266870  0.71291E+00   0.405408   3.764800   7.013032   1.586579   0.00000   0.00000   0.00000   0.00000   2.50940  0.2839E-01  0.8121E-04  0.0000E+00  0.9715E+00   0.273988   6.268151   0.712258    1.571677   4.159044   1.300000  0.0000E+00   0.000000  0.6821E+01 -0.9900E+02   0.130062   1.760000
   395  7.07345438  0.71291E+00   0.407403   3.765110   7.013964   1.589283   0.00000   0.00000   0.00000   0.00000   2.51284  0.2874E-01  0.8498E-04  0.0000E+00  0.9712E+00   0.273988   6.259046   0.716428    1.573042   4.158290   1.300000  0.0000E+00   0.000000  0.6818E+01 -0.9900E+02   0.112334   1.760000
   396  7.07424038  0.71291E+00   0.409436   3.765426   7.014900   1.591993   0.00000   0.00000   0.00000   0.00000   2.51284  0.2909E-01  0.8893E-04  0.0000E+00  0.9708E+00   0.273988   6.261469   0.715105    1.574435   4.157521   1.300000  0.0000E+00   0.000000  0.6816E+01 -0.9900E+02   0.121697   1.760000
   397  7.07501256  0.71291E+00   0.411402   3.765733   7.015823   1.594661   0.00000   0.00000   0.00000   0.00000   2.51284  0.2944E-01  0.9300E-04  0.0000E+00  0.9705E+00   0.273988   6.263839   0.713810    1.575774   4.156783   1.300000  0.0000E+00   0.000000  0.6814E+01 -0.9900E+02   0.125269   1.760000
   398  7.07579654  0.71291E+00   0.413455   3.766052   7.016764   1.597376   0.00000   0.00000   0.00000   0.00000   2.51628  0.2981E-01  0.9734E-04  0.0000E+00  0.9701E+00   0.273988   6.254292   0.718165    1.577183   4.156007   1.300000  0.0000E+00   0.000000  0.6811E+01 -0.9900E+02   0.110743   1.760000
   399  7.07655888  0.71291E+00   0.415422   3.766358   7.017683   1.600020   0.00000   0.00000   0.00000   0.00000   2.51628  0.3017E-01  0.1018E-03  0.0000E+00  0.9697E+00   0.273987   6.256686   0.716866    1.578536   4.155262   1.300000  0.0000E+00   0.000000  0.6809E+01 -0.9900E+02   0.114700   1.760000
   400  7.07733249  0.71291E+00   0.417432   3.766672   7.018619   1.602708   0.00000   0.00000   0.00000   0.00000   2.51971  0.3054E-01  0.1065E-03  0.0000E+00  0.9694E+00   0.273987   6.246554   0.721466    1.579905   4.154509   1.300000  0.0000E+00   0.000000  0.6807E+01 -0.9900E+02   0.106490   1.760000
   401  7.07810117  0.71290E+00   0.419474   3.766990   7.019553   1.605381   0.00000   0.00000   0.00000   0.00000   2.51971  0.3091E-01  0.1114E-03  0.0000E+00  0.9690E+00   0.273987   6.249027   0.720135    1.581305   4.153740   1.300000  0.0000E+00   0.000000  0.6804E+01 -0.9900E+02   0.109086   1.760000
   402  7.07885262  0.71290E+00   0.421435   3.767297   7.020470   1.608000   0.00000   0.00000   0.00000   0.00000   2.51971  0.3129E-01  0.1164E-03  0.0000E+00  0.9686E+00   0.273987   6.251433   0.718839    1.582641   4.153006   1.300000  0.0000E+00   0.000000  0.6802E+01 -0.9900E+02   0.114877   1.760000
   403  7.07961770  0.71290E+00   0.423466   3.767614   7.021408   1.610670   0.00000   0.00000   0.00000   0.00000   2.52315  0.3167E-01  0.1218E-03  0.0000E+00  0.9682E+00   0.273987   6.240728   0.723679    1.584031   4.152243   1.300000  0.0000E+00   0.000000  0.6799E+01 -0.9900E+02   0.104224   1.760000
