# -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# NMod      log(t)         H/He  log(L/Ls)  Log(Teff)    log(Tc)  log(rhoc)      Tmax     MTmax     M-cc      M-Hec      M-ce        L-pp       L-cno     L-3alfa       L-gra     He_sup   log(Tce)   Rce/Rtot      R/Rsun     log(g)     M/Msun        mdot     Lacc/L    log(tkh)   log(tacc)  t_conv_gl.  Mix.Len.
# -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    16  0.00000000  0.71295E+00   2.398606   3.589398   5.496836  -3.457376   0.00000   0.00000   0.00000   0.00000   0.00000  0.7037E-12  0.0000E+00  0.0000E+00  0.1000E+01   0.274000   5.496836   0.000000   34.975670   1.464239   1.300000  0.0000E+00   0.000000  0.3480E+01 -0.9900E+02   2.166561   1.760000
    17  0.00000000  0.71295E+00   2.390996   3.590001   5.501535  -3.443464   0.00000   0.00000   0.00000   0.00000   0.00000  0.8985E-12  0.0000E+00  0.0000E+00  0.1000E+01   0.274000   5.501535   0.000000   34.574494   1.474259   1.300000  0.0000E+00   0.000000  0.3493E+01 -0.9900E+02   2.162407   1.760000
    18  1.24090019  0.71295E+00   2.387079   3.590320   5.503973  -3.436245   0.00000   0.00000   0.00000   0.00000   0.00000  0.1020E-11  0.0000E+00  0.0000E+00  0.1000E+01   0.274000   5.503973   0.000000   34.368346   1.479454   1.300000  0.0000E+00   0.000000  0.3499E+01 -0.9900E+02   2.160177   1.760000
    19  1.62361276  0.71295E+00   2.381192   3.590763   5.507553  -3.425643   0.00000   0.00000   0.00000   0.00000   0.00000  0.1228E-11  0.0000E+00  0.0000E+00  0.1000E+01   0.274000   5.507553   0.000000   34.066690   1.487111   1.300000  0.0000E+00   0.000000  0.3509E+01 -0.9900E+02   2.157338   1.760000
    20  1.89744462  0.71295E+00   2.372742   3.591428   5.512762  -3.410210   0.00000   0.00000   0.00000   0.00000   0.00000  0.1607E-11  0.0000E+00  0.0000E+00  0.1000E+01   0.274000   5.512762   0.000000   33.633656   1.498223   1.300000  0.0000E+00   0.000000  0.3523E+01 -0.9900E+02   2.152661   1.760000
    21  2.12828385  0.71295E+00   2.360556   3.592372   5.520238  -3.388060   0.00000   0.00000   0.00000   0.00000   0.00000  0.2361E-11  0.0000E+00  0.0000E+00  0.1000E+01   0.274000   5.520238   0.000000   33.021265   1.514183   1.300000  0.0000E+00   0.000000  0.3543E+01 -0.9900E+02   2.146569   1.760000
    22  2.31564278  0.71295E+00   2.345571   3.593554   5.529491  -3.360632   0.00000   0.00000   0.00000   0.00000   0.00000  0.3791E-11  0.0000E+00  0.0000E+00  0.1000E+01   0.274000   5.529491   0.000000   32.280272   1.533896   1.300000  0.0000E+00   0.000000  0.3568E+01 -0.9900E+02   2.138347   1.760000
    23  2.45172085  0.71295E+00   2.330511   3.594684   5.538669  -3.333420   0.00000   0.00000   0.00000   0.00000   0.00000  0.6051E-11  0.0000E+00  0.0000E+00  0.1000E+01   0.274000   5.538669   0.000000   31.560664   1.553479   1.300000  0.0000E+00   0.000000  0.3593E+01 -0.9900E+02   2.131025   1.760000
    24  2.56052008  0.71295E+00   2.315603   3.595843   5.547849  -3.306182   0.00000   0.00000   0.00000   0.00000   0.00000  0.9631E-11  0.0000E+00  0.0000E+00  0.1000E+01   0.274000   5.547849   0.000000   30.858430   1.573023   1.300000  0.0000E+00   0.000000  0.3618E+01 -0.9900E+02   2.123372   1.760000
    25  2.65216688  0.71295E+00   2.300559   3.596976   5.557043  -3.278874   0.00000   0.00000   0.00000   0.00000   0.00000  0.1530E-10  0.0000E+00  0.0000E+00  0.1000E+01   0.274000   5.557043   0.000000   30.170728   1.592599   1.300000  0.0000E+00   0.000000  0.3642E+01 -0.9900E+02   2.116136   1.760000
    26  2.73187447  0.71295E+00   2.285496   3.598103   5.566240  -3.251541   0.00000   0.00000   0.00000   0.00000   0.00000  0.2426E-10  0.0000E+00  0.0000E+00  0.1000E+01   0.274000   5.566240   0.000000   29.498529   1.612170   1.300000  0.0000E+00   0.000000  0.3667E+01 -0.9900E+02   2.108823   1.760000
    27  2.80288703  0.71295E+00   2.270372   3.599221   5.575444  -3.224184   0.00000   0.00000   0.00000   0.00000   0.00000  0.3838E-10  0.0000E+00  0.0000E+00  0.1000E+01   0.274000   5.575444   0.000000   28.840504   1.631765   1.300000  0.0000E+00   0.000000  0.3692E+01 -0.9900E+02   2.101852   1.760000
    28  2.86722395  0.71295E+00   2.255257   3.600327   5.584647  -3.196819   0.00000   0.00000   0.00000   0.00000   0.00000  0.6055E-10  0.0000E+00  0.0000E+00  0.1000E+01   0.274000   5.584647   0.000000   28.198941   1.651305   1.300000  0.0000E+00   0.000000  0.3717E+01 -0.9900E+02   2.094647   1.760000
    29  2.92647881  0.71295E+00   2.239966   3.601412   5.593872  -3.169386   0.00000   0.00000   0.00000   0.00000   0.00000  0.9542E-10  0.0000E+00  0.0000E+00  0.1000E+01   0.274000   5.593872   0.000000   27.568742   1.670937   1.300000  0.0000E+00   0.000000  0.3742E+01 -0.9900E+02   2.088103   1.760000
    30  2.98140033  0.71295E+00   2.224817   3.602506   5.603083  -3.141984   0.00000   0.00000   0.00000   0.00000   0.00000  0.1498E-09  0.0000E+00  0.0000E+00  0.9999E+00   0.274000   5.603083   0.000000   26.955931   1.690462   1.300000  0.0000E+00   0.000000  0.3767E+01 -0.9900E+02   2.080998   1.760000
    31  3.03303913  0.71295E+00   2.209380   3.603559   5.612321  -3.114464   0.00000   0.00000   0.00000   0.00000   0.00000  0.2352E-09  0.0000E+00  0.0000E+00  0.1000E+01   0.274000   5.612321   0.000000   26.352992   1.710111   1.300000  0.0000E+00   0.000000  0.3792E+01 -0.9900E+02   2.074862   1.760000
    32  3.08164716  0.71295E+00   2.194124   3.604625   5.621540  -3.086987   0.00000   0.00000   0.00000   0.00000   0.00000  0.3677E-09  0.0000E+00  0.0000E+00  0.9999E+00   0.274000   5.621540   0.000000   25.767373   1.729631   1.300000  0.0000E+00   0.000000  0.3817E+01 -0.9900E+02   2.068032   1.760000
    33  3.12799970  0.71295E+00   2.178605   3.605660   5.630794  -3.059399   0.00000   0.00000   0.00000   0.00000   0.00000  0.5747E-09  0.0000E+00  0.0000E+00  0.9999E+00   0.274000   5.630794   0.000000   25.190765   1.749288   1.300000  0.0000E+00   0.000000  0.3843E+01 -0.9900E+02   2.062008   1.760000
    34  3.17212433  0.71295E+00   2.163252   3.606705   5.640026  -3.031863   0.00000   0.00000   0.00000   0.00000   0.00000  0.8949E-09  0.0000E+00  0.0000E+00  0.9999E+00   0.274000   5.640026   0.000000   24.630566   1.768822   1.300000  0.0000E+00   0.000000  0.3868E+01 -0.9900E+02   2.055453   1.760000
    35  3.21459482  0.71295E+00   2.147740   3.607738   5.649293  -3.004226   0.00000   0.00000   0.00000   0.00000   0.00000  0.1393E-08  0.0000E+00  0.0000E+00  0.9999E+00   0.274000   5.649293   0.000000   24.079825   1.788464   1.300000  0.0000E+00   0.000000  0.3893E+01 -0.9900E+02   2.049419   1.760000
    36  3.25540068  0.71295E+00   2.132319   3.608777   5.658546  -2.976618   0.00000   0.00000   0.00000   0.00000   0.00000  0.2160E-08  0.0000E+00  0.0000E+00  0.9999E+00   0.274000   5.658546   0.000000   23.543125   1.808043   1.300000  0.0000E+00   0.000000  0.3918E+01 -0.9900E+02   2.043137   1.760000
    37  3.29488344  0.71295E+00   2.116956   3.609833   5.667819  -2.948935   0.00000   0.00000   0.00000   0.00000   0.00000  0.3344E-08  0.0000E+00  0.0000E+00  0.9999E+00   0.274000   5.667819   0.000000   23.018217   1.827627   1.300000  0.0000E+00   0.000000  0.3944E+01 -0.9900E+02   2.036734   1.760000
    38  3.33318984  0.71295E+00   2.101549   3.610894   5.677109  -2.921198   0.00000   0.00000   0.00000   0.00000   0.00000  0.5170E-08  0.0000E+00  0.0000E+00  0.9999E+00   0.274000   5.677109   0.000000   22.503280   1.847279   1.300000  0.0000E+00   0.000000  0.3969E+01 -0.9900E+02   2.030635   1.760000
    39  3.37033688  0.71295E+00   2.086314   3.611981   5.686391  -2.893480   0.00000   0.00000   0.00000   0.00000   0.00000  0.7968E-08  0.0000E+00  0.0000E+00  0.9999E+00   0.274000   5.686391   0.000000   22.001518   1.866866   1.300000  0.0000E+00   0.000000  0.3994E+01 -0.9900E+02   2.024066   1.760000
    40  3.40657234  0.71295E+00   2.071134   3.613101   5.695698  -2.865687   0.00000   0.00000   0.00000   0.00000   0.00000  0.1226E-07  0.0000E+00  0.0000E+00  0.9999E+00   0.274000   5.695698   0.000000   21.509211   1.886522   1.300000  0.0000E+00   0.000000  0.4019E+01 -0.9900E+02   2.017670   1.760000
    41  3.44187524  0.71295E+00   2.056101   3.614251   5.705002  -2.837887   0.00000   0.00000   0.00000   0.00000   0.00000  0.1881E-07  0.0000E+00  0.0000E+00  0.9999E+00   0.274000   5.705002   0.000000   21.028500   1.906154   1.300000  0.0000E+00   0.000000  0.4044E+01 -0.9900E+02   2.010942   1.760000
    42  3.47639663  0.71295E+00   2.041301   3.615462   5.714324  -2.810019   0.00000   0.00000   0.00000   0.00000   0.00000  0.2881E-07  0.0000E+00  0.0000E+00  0.9999E+00   0.274000   5.714324   0.000000   20.558212   1.925800   1.300000  0.0000E+00   0.000000  0.4068E+01 -0.9900E+02   2.004077   1.760000
    43  3.51018929  0.71295E+00   2.026522   3.616690   5.723659  -2.782109   0.00000   0.00000   0.00000   0.00000   0.00000  0.4402E-07  0.0000E+00  0.0000E+00  0.9999E+00   0.274000   5.723659   0.000000   20.097416   1.945490   1.300000  0.0000E+00   0.000000  0.4093E+01 -0.9900E+02   1.996999   1.760000
    44  3.54326409  0.71295E+00   2.012006   3.617973   5.732997  -2.754192   0.00000   0.00000   0.00000   0.00000   0.00000  0.6708E-07  0.0000E+00  0.0000E+00  0.9999E+00   0.274000   5.732997   0.000000   19.647872   1.965140   1.300000  0.0000E+00   0.000000  0.4117E+01 -0.9900E+02   1.989625   1.760000
    45  3.57575788  0.71295E+00   1.997373   3.619240   5.742355  -2.726208   0.00000   0.00000   0.00000   0.00000   0.00000  0.1021E-06  0.0000E+00  0.0000E+00  0.9999E+00   0.274000   5.742355   0.000000   19.207259   1.984840   1.300000  0.0000E+00   0.000000  0.4142E+01 -0.9900E+02   1.982288   1.760000
    46  3.60764955  0.71295E+00   1.982804   3.620517   5.751712  -2.698214   0.00000   0.00000   0.00000   0.00000   0.00000  0.1550E-06  0.0000E+00  0.0000E+00  0.9999E+00   0.274000   5.751712   0.000000   18.776981   2.004519   1.300000  0.0000E+00   0.000000  0.4166E+01 -0.9900E+02   1.975071   1.760000
    47  3.63903080  0.71295E+00   1.968132   3.621770   5.761080  -2.670192   0.00000   0.00000   0.00000   0.00000   0.00000  0.2349E-06  0.0000E+00  0.0000E+00  0.9999E+00   0.274000   5.761080   0.000000   18.356276   2.024202   1.300000  0.0000E+00   0.000000  0.4191E+01 -0.9900E+02   1.967874   1.760000
    48  3.66994591  0.71295E+00   1.953288   3.622979   5.770454  -2.642154   0.00000   0.00000   0.00000   0.00000   0.00000  0.3554E-06  0.0000E+00  0.0000E+00  0.9999E+00   0.274000   5.770454   0.000000   17.945076   2.043880   1.300000  0.0000E+00   0.000000  0.4215E+01 -0.9900E+02   1.961114   1.760000
    49  3.70044432  0.71295E+00   1.938212   3.624134   5.779832  -2.614096   0.00000   0.00000   0.00000   0.00000   0.00000  0.5369E-06  0.0000E+00  0.0000E+00  0.9999E+00   0.274000   5.779832   0.000000   17.542694   2.063578   1.300000  0.0000E+00   0.000000  0.4240E+01 -0.9900E+02   1.954783   1.760000
