     R/Rsun        theta        Omega(1/ns) Unknown
      1.00046      1.47262      283.731     0.332862
      1.00071      1.47262      283.445     0.335671
     0.400260      1.43990      426.888     0.541563
     0.442229      1.43990      426.998     0.435202
     0.482450      1.43990      426.432     0.356887
     0.521026      1.43990      426.105     0.314029
     0.558060      1.43990      425.054     0.316627
     0.593637      1.43990      424.155     0.336677
     0.627809      1.43990      423.171     0.347537
     0.660583      1.43990      416.951     0.345395
     0.691917      1.43990      401.333     0.334917
     0.721641      1.43990      379.893     0.322502
     0.749417      1.43990      361.096     0.310386
     0.775293      1.43990      349.298     0.298524
     0.799374      1.43990      343.388     0.286333
     0.821755      1.43990      340.404     0.274060
     0.842515      1.43990      338.245     0.262476
     0.861725      1.43990      336.126     0.252150
     0.879442      1.43990      334.015     0.244124
     0.895717      1.43990      332.074     0.240570
     0.910598      1.43990      330.434     0.244096
     0.924122      1.43990      329.013     0.253359
     0.936327      1.43990      327.443     0.258459
     0.947243      1.43990      325.267     0.247278
     0.956899      1.43990      322.194     0.217625
     0.965319      1.43990      318.268     0.180302
     0.972523      1.43990      313.888     0.152886
     0.978567      1.43990      309.508     0.148397
     0.983589      1.43990      305.299     0.164721
     0.987668      1.43990      301.466     0.190435
     0.990765      1.43990      298.347     0.215534
     0.993061      1.43990      295.950     0.236388
     0.994808      1.43990      294.092     0.253210
     0.996168      1.43990      292.635     0.266747
     0.997251      1.43990      291.470     0.277758
     0.998128      1.43990      290.525     0.286803
     0.998842      1.43990      289.756     0.294242
     0.999417      1.43990      289.137     0.300277
     0.999861      1.43990      288.657     0.304975
      1.00019      1.43990      288.305     0.308448
      1.00046      1.43990      288.014     0.311314
      1.00071      1.43990      287.740     0.314031
     0.400260      1.40717      426.899     0.541647
     0.442229      1.40717      427.016     0.435320
     0.482450      1.40717      426.463     0.356892
     0.521026      1.40717      426.163     0.313481
     0.558060      1.40717      425.126     0.315225
     0.593637      1.40717      424.212     0.334577
     0.627809      1.40717      423.257     0.345005
     0.660583      1.40717      417.162     0.342614
     0.691917      1.40717      401.749     0.331914
     0.721641      1.40717      380.516     0.319145
     0.749417      1.40717      361.909     0.306508
     0.775293      1.40717      350.308     0.294082
     0.799374      1.40717      344.588     0.281346
     0.821755      1.40717      341.760     0.268531
     0.842515      1.40717      339.736     0.256403
     0.861725      1.40717      337.760     0.245521
     0.879442      1.40717      335.796     0.236875
     0.895717      1.40717      333.973     0.232548
     0.910598      1.40717      332.423     0.235042
     0.924122      1.40717      331.108     0.243545
     0.936327      1.40717      329.713     0.249375
     0.947243      1.40717      327.799     0.240286
     0.956899      1.40717      325.053     0.212303
     0.965319      1.40717      321.486     0.174590
     0.972523      1.40717      317.477     0.144139
     0.978567      1.40717      313.483     0.135085
     0.983589      1.40717      309.646     0.147526
     0.987668      1.40717      306.118     0.170694
     0.990765      1.40717      303.223     0.194202
     0.993061      1.40717      300.986     0.214011
     0.994808      1.40717      299.249     0.230092
     0.996168      1.40717      297.883     0.243078
     0.997251      1.40717      296.791     0.253666
     0.998128      1.40717      295.905     0.262378
     0.998842      1.40717      295.183     0.269551
     0.999417      1.40717      294.603     0.275376
     0.999861      1.40717      294.153     0.279913
      1.00019      1.40717      293.822     0.283268
      1.00046      1.40717      293.550     0.286039
      1.00071      1.40717      293.293     0.288667
     0.400260      1.37445      426.912     0.541750
     0.442229      1.37445      427.038     0.435464
     0.482450      1.37445      426.501     0.356899
     0.521026      1.37445      426.233     0.312821
     0.558060      1.37445      425.214     0.313526
     0.593637      1.37445      424.283     0.332024
     0.627809      1.37445      423.362     0.341921
     0.660583      1.37445      417.420     0.339225
     0.691917      1.37445      402.256     0.328258
     0.721641      1.37445      381.278     0.315064
     0.749417      1.37445      362.905     0.301803
     0.775293      1.37445      351.544     0.288703
     0.799374      1.37445      346.054     0.275319
     0.821755      1.37445      343.414     0.261865
     0.842515      1.37445      341.552     0.249102
     0.861725      1.37445      339.749     0.237582
     0.879442      1.37445      337.964     0.228227
     0.895717      1.37445      336.286     0.223008
     0.910598      1.37445      334.846     0.224300
     0.924122      1.37445      333.656     0.231835
     0.936327      1.37445      332.467     0.238377
     0.947243      1.37445      330.859     0.231750
     0.956899      1.37445      328.493     0.206052
     0.965319      1.37445      325.339     0.168469
     0.972523      1.37445      321.742     0.135067
     0.978567      1.37445      318.175     0.120879
     0.983589      1.37445      314.777     0.128763
     0.987668      1.37445      311.624     0.149135
     0.990765      1.37445      309.015     0.171073
     0.993061      1.37445      306.991     0.189939
     0.994808      1.37445      305.414     0.205403
     0.996168      1.37445      304.173     0.217960
     0.997251      1.37445      303.179     0.228236
     0.998128      1.37445      302.372     0.236713
     0.998842      1.37445      301.714     0.243706
     0.999417      1.37445      301.185     0.249391
     0.999861      1.37445      300.775     0.253824
      1.00019      1.37445      300.474     0.257104
      1.00046      1.37445      300.226     0.259814
      1.00071      1.37445      299.991     0.262385
     0.400260      1.34172      426.928     0.541871
     0.442229      1.34172      427.063     0.435634
     0.482450      1.34172      426.546     0.356912
     0.521026      1.34172      426.316     0.312056
     0.558060      1.34172      425.317     0.311539
     0.593637      1.34172      424.367     0.329027
     0.627809      1.34172      423.487     0.338293
     0.660583      1.34172      417.723     0.335235
     0.691917      1.34172      402.853     0.323958
     0.721641      1.34172      382.178     0.310277
     0.749417      1.34172      364.084     0.296299
     0.775293      1.34172      353.006     0.282426
     0.799374      1.34172      347.784     0.268303
     0.821755      1.34172      345.363     0.254133
     0.842515      1.34172      343.689     0.240671
     0.861725      1.34172      342.086     0.228467
     0.879442      1.34172      340.508     0.218357
     0.895717      1.34172      338.998     0.212170
     0.910598      1.34172      337.686     0.212134
     0.924122      1.34172      336.639     0.218492
     0.936327      1.34172      335.678     0.225640
     0.947243      1.34172      334.406     0.221776
     0.956899      1.34172      332.454     0.199061
     0.965319      1.34172      329.747     0.162427
     0.972523      1.34172      326.583     0.126675
     0.978567      1.34172      323.452     0.107246
     0.983589      1.34172      320.530     0.110075
     0.987668      1.34172      317.801     0.127629
     0.990765      1.34172      315.525     0.148321
     0.993061      1.34172      313.754     0.166628
