     R/Rsun        theta        Omega(1/ns) Unknown
     0.775293      1.01447      379.643     0.191470
     0.799374      1.01447      378.487     0.172856
     0.821755      1.01447      379.039     0.156369
     0.842515      1.01447      379.692     0.142627
     0.861725      1.01447      380.496     0.132278
     0.879442      1.01447      381.377     0.124142
     0.895717      1.01447      381.735     0.116471
     0.910598      1.01447      381.707     0.109418
     0.924122      1.01447      381.780     0.102847
     0.936327      1.01447      382.247     0.100531
     0.947243      1.01447      382.834     0.110024
     0.956899      1.01447      383.067     0.124850
     0.965319      1.01447      382.744     0.127216
     0.972523      1.01447      381.943     0.113536
     0.978567      1.01447      380.761    0.0911138
     0.983589      1.01447      379.337    0.0671300
     0.987668      1.01447      377.834    0.0529073
     0.990765      1.01447      376.496    0.0585655
     0.993061      1.01447      375.426    0.0756949
     0.994808      1.01447      374.563    0.0946035
     0.996168      1.01447      373.862     0.111904
     0.997251      1.01447      373.288     0.126884
     0.998128      1.01447      372.818     0.139590
     0.998842      1.01447      372.432     0.150215
     0.999417      1.01447      372.122     0.158910
     0.999861      1.01447      371.881     0.165711
      1.00019      1.01447      371.704     0.170752
      1.00046      1.01447      371.558     0.174920
      1.00071      1.01447      371.420     0.178876
     0.400260     0.981748      427.259     0.544241
     0.442229     0.981748      427.608     0.439119
     0.482450     0.981748      427.495     0.358054
     0.521026     0.981748      428.044     0.299621
     0.558060     0.981748      427.502     0.275750
     0.593637     0.981748      426.221     0.272434
     0.627809     0.981748      426.094     0.268159
     0.660583     0.981748      423.741     0.257849
     0.691917     0.981748      414.852     0.242380
     0.721641     0.981748      400.911     0.223904
     0.749417     0.981748      388.976     0.203027
     0.775293     0.981748      383.357     0.182840
     0.799374     0.981748      382.643     0.164914
     0.821755     0.981748      383.471     0.149383
     0.842515     0.981748      384.301     0.136687
     0.861725     0.981748      385.275     0.127396
     0.879442     0.981748      386.322     0.120199
     0.895717     0.981748      386.794     0.113125
     0.910598     0.981748      386.838     0.106245
     0.924122     0.981748      386.965    0.0994449
     0.936327     0.981748      387.463    0.0958557
     0.947243     0.981748      388.049     0.103697
     0.956899     0.981748      388.266     0.119076
     0.965319     0.981748      387.941     0.123501
     0.972523     0.981748      387.146     0.111739
     0.978567     0.981748      385.951    0.0906736
     0.983589     0.981748      384.488    0.0671053
     0.987668     0.981748      382.949    0.0517295
     0.990765     0.981748      381.570    0.0557251
     0.993061     0.981748      380.461    0.0721851
     0.994808     0.981748      379.564    0.0910033
     0.996168     0.981748      378.833     0.108404
     0.997251     0.981748      378.234     0.123533
     0.998128     0.981748      377.743     0.136387
     0.998842     0.981748      377.341     0.147146
     0.999417     0.981748      377.016     0.155954
     0.999861     0.981748      376.765     0.162845
      1.00019     0.981748      376.580     0.167952
      1.00046     0.981748      376.428     0.172175
      1.00071     0.981748      376.284     0.176185
     0.400260     0.949023      427.303     0.544533
     0.442229     0.949023      427.680     0.439572
     0.482450     0.949023      427.620     0.358329
     0.521026     0.949023      428.269     0.298516
     0.558060     0.949023      427.788     0.271990
     0.593637     0.949023      426.472     0.266088
     0.627809     0.949023      426.430     0.260053
     0.660583     0.949023      424.479     0.248896
     0.691917     0.949023      416.344     0.233251
     0.721641     0.949023      403.316     0.214988
     0.749417     0.949023      392.199     0.194485
     0.775293     0.949023      387.200     0.174914
     0.799374     0.949023      386.910     0.157904
     0.821755     0.949023      387.991     0.143452
     0.842515     0.949023      388.973     0.131784
     0.861725     0.949023      390.087     0.123400
     0.879442     0.949023      391.274     0.116940
     0.895717     0.949023      391.838     0.110346
     0.910598     0.949023      391.946     0.103632
     0.924122     0.949023      392.120    0.0967444
     0.936327     0.949023      392.642    0.0921893
     0.947243     0.949023      393.218    0.0982844
     0.956899     0.949023      393.408     0.113661
     0.965319     0.949023      393.065     0.119610
     0.972523     0.949023      392.258     0.109397
     0.978567     0.949023      391.044    0.0895902
     0.983589     0.949023      389.555    0.0667095
     0.987668     0.949023      387.996    0.0507490
     0.990765     0.949023      386.598    0.0533624
     0.993061     0.949023      385.471    0.0690944
     0.994808     0.949023      384.557    0.0876955
     0.996168     0.949023      383.811     0.105073
     0.997251     0.949023      383.200     0.120243
     0.998128     0.949023      382.698     0.133156
     0.998842     0.949023      382.288     0.143974
     0.999417     0.949023      381.957     0.152834
     0.999861     0.949023      381.700     0.159767
      1.00019     0.949023      381.511     0.164907
      1.00046     0.949023      381.356     0.169157
      1.00071     0.949023      381.209     0.173193
     0.400260     0.916298      427.348     0.544835
     0.442229     0.916298      427.756     0.440044
     0.482450     0.916298      427.751     0.358647
     0.521026     0.916298      428.502     0.297496
     0.558060     0.916298      428.085     0.268329
     0.593637     0.916298      426.734     0.259795
     0.627809     0.916298      426.777     0.251945
     0.660583     0.916298      425.233     0.239932
     0.691917     0.916298      417.874     0.224180
     0.721641     0.916298      405.801     0.206313
     0.749417     0.916298      395.530     0.186459
     0.775293     0.916298      391.146     0.167770
     0.799374     0.916298      391.256     0.151845
     0.821755     0.916298      392.561     0.138509
     0.842515     0.916298      393.667     0.127766
     0.861725     0.916298      394.893     0.120078
     0.879442     0.916298      396.192     0.114131
     0.895717     0.916298      396.832     0.107892
     0.910598     0.916298      396.996     0.101332
     0.924122     0.916298      397.213    0.0944496
     0.936327     0.916298      397.755    0.0892172
     0.947243     0.916298      398.316    0.0936236
     0.956899     0.916298      398.471     0.108599
     0.965319     0.916298      398.097     0.115640
     0.972523     0.916298      397.266     0.106664
     0.978567     0.916298      396.035    0.0880123
     0.983589     0.916298      394.532    0.0660021
     0.987668     0.916298      392.969    0.0498722
     0.990765     0.916298      391.574    0.0513260
     0.993061     0.916298      390.446    0.0662738
     0.994808     0.916298      389.531    0.0845435
     0.996168     0.916298      388.784     0.101788
     0.997251     0.916298      388.171     0.116904
     0.998128     0.916298      387.667     0.129797
     0.998842     0.916298      387.255     0.140608
     0.999417     0.916298      386.923     0.149468
     0.999861     0.916298      386.666     0.156403
      1.00019     0.916298      386.476     0.161544
      1.00046     0.916298      386.320     0.165797
      1.00071     0.916298      386.173     0.169835
     0.400260     0.883573      427.395     0.545144
     0.442229     0.883573      427.834     0.440535
     0.482450     0.883573      427.887     0.359013
     0.521026     0.883573      428.744     0.296583
     0.558060     0.883573      428.393     0.264821
     0.593637     0.883573      427.005     0.253638
     0.627809     0.883573      427.132     0.243932
     0.660583     0.883573      425.997     0.231062
     0.691917     0.883573      419.434     0.215266
     0.721641     0.883573      408.350     0.197965
     0.749417     0.883573      398.948     0.179019
     0.775293     0.883573      395.167     0.161436
     0.799374     0.883573      395.646     0.146692
     0.821755     0.883573      397.143     0.134428
     0.842515     0.883573      398.343     0.124450
     0.861725     0.883573      399.653     0.117238
     0.879442     0.883573      401.040     0.111598
     0.895717     0.883573      401.739     0.105608
     0.910598     0.883573      401.952    0.0992021
     0.924122     0.883573      402.213    0.0923838
     0.936327     0.883573      402.771    0.0867182
     0.947243     0.883573      403.315    0.0895937
     0.956899     0.883573      403.428     0.103898
     0.965319     0.883573      403.014     0.111690
     0.972523     0.883573      402.155     0.103698
     0.978567     0.883573      400.911    0.0860940
     0.983589     0.883573      399.403    0.0650704
     0.987668     0.883573      397.848    0.0490760
     0.990765     0.883573      396.469    0.0495533
     0.993061     0.883573      395.349    0.0636660
     0.994808     0.883573      394.441    0.0815005
     0.996168     0.883573      393.698    0.0985145
     0.997251     0.883573      393.089     0.113497
     0.998128     0.883573      392.588     0.126303
     0.998842     0.883573      392.178     0.137054
     0.999417     0.883573      391.847     0.145871
     0.999861     0.883573      391.591     0.152776
      1.00019     0.883573      391.403     0.157896
      1.00046     0.883573      391.247     0.162132
      1.00071     0.883573      391.100     0.166154
     0.400260     0.850848      427.443     0.545460
     0.442229     0.850848      427.915     0.441044
     0.482450     0.850848      428.027     0.359428
     0.521026     0.850848      428.992     0.295799
     0.558060     0.850848      428.708     0.261523
     0.593637     0.850848      427.283     0.247707
     0.627809     0.850848      427.491     0.236123
     0.660583     0.850848      426.767     0.222397
     0.691917     0.850848      421.013     0.206608
     0.721641     0.850848      410.948     0.190019
     0.749417     0.850848      402.428     0.172201
     0.775293     0.850848      399.231     0.155889
     0.799374     0.850848      400.043     0.142347
     0.821755     0.850848      401.699     0.131047
     0.842515     0.850848      402.963     0.121655
     0.861725     0.850848      404.329     0.114728
     0.879442     0.850848      405.781     0.109239
     0.895717     0.850848      406.526     0.103421
     0.910598     0.850848      406.786    0.0971814
     0.924122     0.850848      407.088    0.0904631
     0.936327     0.850848      407.664    0.0845515
     0.947243     0.850848      408.189    0.0861091
     0.956899     0.850848      408.255    0.0995812
     0.965319     0.850848      407.793     0.107860
     0.972523     0.850848      406.904     0.100639
     0.978567     0.850848      405.650    0.0839681
     0.983589     0.850848      404.142    0.0639935
     0.987668     0.850848      402.596    0.0483601
     0.990765     0.850848      401.235    0.0480057
     0.993061     0.850848      400.125    0.0612373
     0.994808     0.850848      399.222    0.0785522
     0.996168     0.850848      398.483    0.0952607
     0.997251     0.850848      397.876     0.110047
     0.998128     0.850848      397.377     0.122717
     0.998842     0.850848      396.968     0.133368
     0.999417     0.850848      396.638     0.142111
     0.999861     0.850848      396.383     0.148960
      1.00019     0.850848      396.195     0.154041
      1.00046     0.850848      396.040     0.158245
      1.00071     0.850848      395.894     0.162238
     0.400260     0.818123      427.493     0.545783
     0.442229     0.818123      427.998     0.441569
     0.482450     0.818123      428.171     0.359896
     0.521026     0.818123      429.246     0.295161
     0.558060     0.818123      429.031     0.258490
     0.593637     0.818123      427.567     0.242098
     0.627809     0.818123      427.853     0.228635
     0.660583     0.818123      427.536     0.214058
     0.691917     0.818123      422.600     0.198307
     0.721641     0.818123      413.577     0.182533
     0.749417     0.818123      405.948     0.166009
     0.775293     0.818123      403.308     0.151063
     0.799374     0.818123      404.412     0.138678
     0.821755     0.818123      406.190     0.128198
     0.842515     0.818123      407.491     0.119224
     0.861725     0.818123      408.888     0.112446
     0.879442     0.818123      410.385     0.107013
     0.895717     0.818123      411.167     0.101315
     0.910598     0.818123      411.470    0.0952583
     0.924122     0.818123      411.816    0.0886601
     0.936327     0.818123      412.410    0.0826326
     0.947243     0.818123      412.918    0.0831072
     0.956899     0.818123      412.933    0.0956702
     0.965319     0.818123      412.419     0.104232
     0.972523     0.818123      411.500    0.0976037
     0.978567     0.818123      410.236    0.0817422
     0.983589     0.818123      408.727    0.0628370
     0.987668     0.818123      407.187    0.0477338
     0.990765     0.818123      405.838    0.0466821
     0.993061     0.818123      404.733    0.0590033
     0.994808     0.818123      403.828    0.0757316
     0.996168     0.818123      403.086    0.0920753
     0.997251     0.818123      402.476     0.106617
     0.998128     0.818123      401.975     0.119113
     0.998842     0.818123      401.565     0.129635
     0.999417     0.818123      401.234     0.138280
     0.999861     0.818123      400.978     0.145056
      1.00019     0.818123      400.790     0.150085
      1.00046     0.818123      400.634     0.154247
      1.00071     0.818123      400.488     0.158200
     0.400260     0.785398      427.544     0.546109
     0.442229     0.785398      428.083     0.442110
     0.482450     0.785398      428.318     0.360418
     0.521026     0.785398      429.505     0.294688
     0.558060     0.785398      429.358     0.255779
     0.593637     0.785398      427.855     0.236909
     0.627809     0.785398      428.214     0.221593
     0.660583     0.785398      428.299     0.206174
     0.691917     0.785398      424.185     0.190465
     0.721641     0.785398      416.221     0.175553
     0.749417     0.785398      409.483     0.160415
     0.775293     0.785398      407.368     0.146856
     0.799374     0.785398      408.721     0.135532
     0.821755     0.785398      410.584     0.125723
     0.842515     0.785398      411.895     0.117039
     0.861725     0.785398      413.302     0.110337
     0.879442     0.785398      414.829     0.104917
     0.895717     0.785398      415.641    0.0993093
     0.910598     0.785398      415.987    0.0934456
     0.924122     0.785398      416.378    0.0869772
     0.936327     0.785398      416.994    0.0809154
     0.947243     0.785398      417.486    0.0805349
     0.956899     0.785398      417.449    0.0921787
     0.965319     0.785398      416.884     0.100866
     0.972523     0.785398      415.934    0.0946703
     0.978567     0.785398      414.661    0.0794907
     0.983589     0.785398      413.150    0.0616392
     0.987668     0.785398      411.606    0.0471789
     0.990765     0.785398      410.261    0.0455684
     0.993061     0.785398      409.160    0.0569927
     0.994808     0.785398      408.251    0.0730970
     0.996168     0.785398      407.502    0.0890349
     0.997251     0.785398      406.885     0.103297
     0.998128     0.785398      406.377     0.115591
     0.998842     0.785398      405.961     0.125959
     0.999417     0.785398      405.626     0.134487
     0.999861     0.785398      405.367     0.141176
      1.00019     0.785398      405.175     0.146142
      1.00046     0.785398      405.018     0.150253
      1.00071     0.785398      404.870     0.154159
     0.400260     0.752673      427.596     0.546440
     0.442229     0.752673      428.170     0.442665
     0.482450     0.752673      428.468     0.360996
     0.521026     0.752673      429.767     0.294397
     0.558060     0.752673      429.689     0.253442
     0.593637     0.752673      428.145     0.232239
     0.627809     0.752673      428.571     0.215126
     0.660583     0.752673      429.049     0.198880
     0.691917     0.752673      425.757     0.183182
     0.721641     0.752673      418.862     0.169109
     0.749417     0.752673      413.007     0.155365
     0.775293     0.752673      411.380     0.143145
     0.799374     0.752673      412.936     0.132760
     0.821755     0.752673      414.850     0.123488
     0.842515     0.752673      416.149     0.115021
     0.861725     0.752673      417.548     0.108379
     0.879442     0.752673      419.094     0.102975
     0.895717     0.752673      419.935    0.0974369
     0.910598     0.752673      420.326    0.0917619
     0.924122     0.752673      420.763    0.0854272
     0.936327     0.752673      421.401    0.0793777
     0.947243     0.752673      421.878    0.0783434
     0.956899     0.752673      421.793    0.0891069
     0.965319     0.752673      421.176    0.0978015
     0.972523     0.752673      420.199    0.0918982
     0.978567     0.752673      418.916    0.0772723
     0.983589     0.752673      417.397    0.0604258
     0.987668     0.752673      415.842    0.0466694
     0.990765     0.752673      414.491    0.0446179
     0.993061     0.752673      413.386    0.0551863
     0.994808     0.752673      412.470    0.0706603
     0.996168     0.752673      411.712    0.0861763
     0.997251     0.752673      411.087     0.100143
     0.998128     0.752673      410.572     0.112219
     0.998842     0.752673      410.149     0.122423
     0.999417     0.752673      409.809     0.130824
     0.999861     0.752673      409.545     0.137418
      1.00019     0.752673      409.351     0.142316
      1.00046     0.752673      409.191     0.146371
      1.00071     0.752673      409.040     0.150226
     0.400260     0.719948      427.648     0.546772
     0.442229     0.719948      428.258     0.443232
     0.482450     0.719948      428.619     0.361630
     0.521026     0.719948      430.030     0.294299
     0.558060     0.719948      430.021     0.251527
     0.593637     0.719948      428.434     0.228185
     0.627809     0.719948      428.922     0.209366
     0.660583     0.719948      429.781     0.192312
     0.691917     0.719948      427.306     0.176559
     0.721641     0.719948      421.482     0.163225
     0.749417     0.719948      416.498     0.150792
     0.775293     0.719948      415.318     0.139799
     0.799374     0.719948      417.031     0.130222
     0.821755     0.719948      418.963     0.121393
     0.842515     0.719948      420.230     0.113120
     0.861725     0.719948      421.607     0.106572
     0.879442     0.719948      423.164     0.101210
     0.895717     0.719948      424.037    0.0957287
     0.910598     0.719948      424.476    0.0902204
     0.924122     0.719948      424.959    0.0840170
     0.936327     0.719948      425.622    0.0780054
     0.947243     0.719948      426.082    0.0764817
     0.956899     0.719948      425.950    0.0864313
     0.965319     0.719948      425.286    0.0950485
     0.972523     0.719948      424.283    0.0893335
     0.978567     0.719948      422.989    0.0751439
     0.983589     0.719948      421.458    0.0592277
     0.987668     0.719948      419.883    0.0461963
     0.990765     0.719948      418.518    0.0437981
     0.993061     0.719948      417.401    0.0535559
     0.994808     0.719948      416.471    0.0684081
     0.996168     0.719948      415.699    0.0835018
     0.997251     0.719948      415.061    0.0971713
     0.998128     0.719948      414.535     0.109028
     0.998842     0.719948      414.103     0.119067
     0.999417     0.719948      413.755     0.127341
     0.999861     0.719948      413.486     0.133841
      1.00019     0.719948      413.287     0.138670
      1.00046     0.719948      413.124     0.142671
      1.00071     0.719948      412.970     0.146473
     0.400260     0.687223      427.701     0.547105
     0.442229     0.687223      428.346     0.443809
     0.482450     0.687223      428.771     0.362319
     0.521026     0.687223      430.294     0.294405
     0.558060     0.687223      430.351     0.250073
     0.593637     0.687223      428.721     0.224833
     0.627809     0.687223      429.262     0.204437
     0.660583     0.687223      430.491     0.186606
     0.691917     0.687223      428.822     0.170695
     0.721641     0.687223      424.066     0.157919
     0.749417     0.687223      419.932     0.146625
     0.775293     0.687223      419.157     0.136696
     0.799374     0.687223      420.980     0.127802
     0.821755     0.687223      422.901     0.119362
     0.842515     0.687223      424.123     0.111306
     0.861725     0.687223      425.466     0.104911
     0.879442     0.687223      427.029    0.0996328
     0.895717     0.687223      427.938    0.0942005
     0.910598     0.687223      428.427    0.0888233
     0.924122     0.687223      428.958    0.0827429
     0.936327     0.687223      429.644    0.0767837
     0.947243     0.687223      430.089    0.0748943
     0.956899     0.687223      429.912    0.0841003
     0.965319     0.687223      429.202    0.0925845
     0.972523     0.687223      428.177    0.0869979
     0.978567     0.687223      426.873    0.0731447
     0.983589     0.687223      425.322    0.0580627
     0.987668     0.687223      423.720    0.0457275
     0.990765     0.687223      422.332    0.0430521
     0.993061     0.687223      421.195    0.0520751
     0.994808     0.687223      420.246    0.0663434
     0.996168     0.687223      419.455    0.0810357
     0.997251     0.687223      418.800    0.0944220
     0.998128     0.687223      418.259     0.106072
     0.998842     0.687223      417.816     0.115954
     0.999417     0.687223      417.458     0.124109
     0.999861     0.687223      417.181     0.130520
      1.00019     0.687223      416.977     0.135285
      1.00046     0.687223      416.809     0.139234
      1.00071     0.687223      416.650     0.142988
     0.400260     0.654498      427.754     0.547438
     0.442229     0.654498      428.435     0.444395
     0.482450     0.654498      428.923     0.363062
     0.521026     0.654498      430.556     0.294720
     0.558060     0.654498      430.680     0.249113
     0.593637     0.654498      429.004     0.222260
     0.627809     0.654498      429.591     0.200454
     0.660583     0.654498      431.174     0.181889
     0.691917     0.654498      430.296     0.165687
     0.721641     0.654498      426.597     0.153213
     0.749417     0.654498      423.290     0.142800
     0.775293     0.654498      422.873     0.133730
     0.799374     0.654498      424.762     0.125407
     0.821755     0.654498      426.646     0.117341
     0.842515     0.654498      427.813     0.109555
     0.861725     0.654498      429.117     0.103384
     0.879442     0.654498      430.681    0.0982310
     0.895717     0.654498      431.632    0.0928481
     0.910598     0.654498      432.172    0.0875610
     0.924122     0.654498      432.751    0.0815902
     0.936327     0.654498      433.461    0.0756851
     0.947243     0.654498      433.891    0.0735189
     0.956899     0.654498      433.673    0.0820506
     0.965319     0.654498      432.923    0.0903774
     0.972523     0.654498      431.877    0.0848978
     0.978567     0.654498      430.561    0.0712956
     0.983589     0.654498      428.986    0.0569565
     0.987668     0.654498      427.349    0.0452841
     0.990765     0.654498      425.929    0.0423766
     0.993061     0.654498      424.767    0.0507361
     0.994808     0.654498      423.794    0.0644735
     0.996168     0.654498      422.981    0.0788022
     0.997251     0.654498      422.307    0.0919330
     0.998128     0.654498      421.750     0.103396
     0.998842     0.654498      421.294     0.113137
     0.999417     0.654498      420.925     0.121184
     0.999861     0.654498      420.640     0.127515
      1.00019     0.654498      420.430     0.132222
      1.00046     0.654498      420.257     0.136124
      1.00071     0.654498      420.094     0.139835
     0.400260     0.621774      427.807     0.547769
     0.442229     0.621774      428.523     0.444986
     0.482450     0.621774      429.074     0.363856
     0.521026     0.621774      430.816     0.295247
     0.558060     0.621774      431.003     0.248666
     0.593637     0.621774      429.280     0.220522
     0.627809     0.621774      429.905     0.197514
     0.660583     0.621774      431.825     0.178275
     0.691917     0.621774      431.721     0.161627
     0.721641     0.621774      429.062     0.149139
     0.749417     0.621774      426.553     0.139278
     0.775293     0.621774      426.449     0.130824
     0.799374     0.621774      428.362     0.122970
     0.821755     0.621774      430.189     0.115289
     0.842515     0.621774      431.297     0.107840
     0.861725     0.621774      432.556     0.101958
     0.879442     0.621774      434.116    0.0969718
     0.895717     0.621774      435.115    0.0916502
     0.910598     0.621774      435.707    0.0864178
     0.924122     0.621774      436.332    0.0805415
     0.936327     0.621774      437.067    0.0746793
     0.947243     0.621774      437.485    0.0722998
     0.956899     0.621774      437.231    0.0802232
     0.965319     0.621774      436.451    0.0883991
     0.972523     0.621774      435.389    0.0830379
     0.978567     0.621774      434.056    0.0696193
     0.983589     0.621774      432.453    0.0559369
     0.987668     0.621774      430.778    0.0449103
     0.990765     0.621774      429.323    0.0418106
     0.993061     0.621774      428.133    0.0495547
     0.994808     0.621774      427.136    0.0628013
     0.996168     0.621774      426.302    0.0767995
     0.997251     0.621774      425.609    0.0897009
     0.998128     0.621774      425.036     0.100997
     0.998842     0.621774      424.565     0.110613
     0.999417     0.621774      424.186     0.118566
     0.999861     0.621774      423.892     0.124826
      1.00019     0.621774      423.675     0.129484
      1.00046     0.621774      423.497     0.133345
      1.00071     0.621774      423.329     0.137017
     0.400260     0.589049      427.859     0.548096
     0.442229     0.589049      428.611     0.445579
     0.482450     0.589049      429.224     0.364697
     0.521026     0.589049      431.072     0.295980
     0.558060     0.589049      431.320     0.248739
     0.593637     0.589049      429.548     0.219654
     0.627809     0.589049      430.204     0.195682
     0.660583     0.589049      432.443     0.175850
     0.691917     0.589049      433.089     0.158599
     0.721641     0.589049      431.449     0.145742
     0.749417     0.589049      429.705     0.136049
     0.775293     0.589049      429.869     0.127938
     0.799374     0.589049      431.767     0.120452
     0.821755     0.589049      433.521     0.113174
     0.842515     0.589049      434.569     0.106131
     0.861725     0.589049      435.782     0.100591
     0.879442     0.589049      437.335    0.0958095
     0.895717     0.589049      438.387    0.0905778
     0.910598     0.589049      439.031    0.0853814
     0.924122     0.589049      439.699    0.0795873
     0.936327     0.589049      440.459    0.0737455
     0.947243     0.589049      440.870    0.0711923
     0.956899     0.589049      440.586    0.0785674
     0.965319     0.589049      439.784    0.0866225
     0.972523     0.589049      438.710    0.0814113
     0.978567     0.589049      437.357    0.0681291
     0.983589     0.589049      435.723    0.0550087
     0.987668     0.589049      434.011    0.0445844
     0.990765     0.589049      432.523    0.0413451
     0.993061     0.589049      431.307    0.0485425
     0.994808     0.589049      430.285    0.0613366
     0.996168     0.589049      429.429    0.0750263
     0.997251     0.589049      428.717    0.0877133
     0.998128     0.589049      428.128    0.0988550
     0.998842     0.589049      427.645     0.108357
     0.999417     0.589049      427.255     0.116223
     0.999861     0.589049      426.953     0.122419
      1.00019     0.589049      426.731     0.127031
      1.00046     0.589049      426.548     0.130855
      1.00071     0.589049      426.375     0.134494
     0.400260     0.556324      427.910     0.548418
     0.442229     0.556324      428.697     0.446173
     0.482450     0.556324      429.371     0.365581
     0.521026     0.556324      431.322     0.296913
     0.558060     0.556324      431.628     0.249326
     0.593637     0.556324      429.807     0.219665
     0.627809     0.556324      430.485     0.194992
     0.660583     0.556324      433.023     0.174670
     0.691917     0.556324      434.394     0.156674
     0.721641     0.556324      433.745     0.143089
     0.749417     0.556324      432.731     0.133145
     0.775293     0.556324      433.122     0.125077
     0.799374     0.556324      434.971     0.117842
     0.821755     0.556324      436.639     0.110975
     0.842515     0.556324      437.632     0.104389
     0.861725     0.556324      438.800    0.0992285
     0.879442     0.556324      440.344    0.0946913
     0.895717     0.556324      441.450    0.0895985
     0.910598     0.556324      442.145    0.0844455
     0.924122     0.556324      442.855    0.0787307
     0.936327     0.556324      443.642    0.0728784
     0.947243     0.556324      444.051    0.0701668
     0.956899     0.556324      443.742    0.0770575
     0.965319     0.556324      442.921    0.0850374
     0.972523     0.556324      441.837    0.0800112
     0.978567     0.556324      440.465    0.0668238
     0.983589     0.556324      438.798    0.0541716
     0.987668     0.556324      437.052    0.0442895
     0.990765     0.556324      435.540    0.0409527
     0.993061     0.556324      434.304    0.0476774
     0.994808     0.556324      433.264    0.0600617
     0.996168     0.556324      432.389    0.0734643
     0.997251     0.556324      431.660    0.0859495
     0.998128     0.556324      431.056    0.0969448
     0.998842     0.556324      430.561     0.106337
     0.999417     0.556324      430.161     0.114122
     0.999861     0.556324      429.851     0.120257
      1.00019     0.556324      429.623     0.124825
      1.00046     0.556324      429.436     0.128614
      1.00071     0.556324      429.258     0.132220
     0.400260     0.523599      427.961     0.548734
     0.442229     0.523599      428.782     0.446764
     0.482450     0.523599      429.515     0.366500
     0.521026     0.523599      431.566     0.298033
     0.558060     0.523599      431.927     0.250406
     0.593637     0.523599      430.055     0.220534
     0.627809     0.523599      430.747     0.195437
     0.660583     0.523599      433.565     0.174750
     0.691917     0.523599      435.632     0.155902
     0.721641     0.523599      435.942     0.141261
     0.749417     0.523599      435.621     0.130644
     0.775293     0.523599      436.196     0.122294
     0.799374     0.523599      437.967     0.115165
     0.821755     0.523599      439.544     0.108682
     0.842515     0.523599      440.488     0.102576
     0.861725     0.523599      441.616    0.0978137
     0.879442     0.523599      443.149    0.0935580
     0.895717     0.523599      444.309    0.0886738
     0.910598     0.523599      445.054    0.0836032
     0.924122     0.523599      445.805    0.0779789
     0.936327     0.523599      446.617    0.0720900
     0.947243     0.523599      447.029    0.0692183
     0.956899     0.523599      446.699    0.0756981
     0.965319     0.523599      445.853    0.0836507
     0.972523     0.523599      444.753    0.0788370
     0.978567     0.523599      443.364    0.0657038
     0.983589     0.523599      441.665    0.0534319
     0.987668     0.523599      439.884    0.0440325
     0.990765     0.523599      438.352    0.0406093
     0.993061     0.523599      437.104    0.0469052
     0.994808     0.523599      436.051    0.0589191
     0.996168     0.523599      435.162    0.0720650
     0.997251     0.523599      434.419    0.0843709
     0.998128     0.523599      433.803    0.0952368
     0.998842     0.523599      433.296     0.104533
     0.999417     0.523599      432.886     0.112245
     0.999861     0.523599      432.569     0.118327
      1.00019     0.523599      432.336     0.122857
      1.00046     0.523599      432.144     0.126615
      1.00071     0.523599      431.962     0.130193
     0.400260     0.490874      428.010     0.549042
     0.442229     0.490874      428.864     0.447348
     0.482450     0.490874      429.655     0.367447
     0.521026     0.490874      431.802     0.299320
     0.558060     0.490874      432.214     0.251945
     0.593637     0.490874      430.292     0.222212
     0.627809     0.490874      430.991     0.196969
     0.660583     0.490874      434.068     0.176060
     0.691917     0.490874      436.798     0.156308
     0.721641     0.490874      438.032     0.140353
     0.749417     0.490874      438.364     0.128672
     0.775293     0.490874      439.086     0.119700
     0.799374     0.490874      440.755     0.112485
     0.821755     0.490874      442.236     0.106303
     0.842515     0.490874      443.143     0.100658
     0.861725     0.490874      444.237    0.0962860
     0.879442     0.490874      445.758    0.0923419
     0.895717     0.490874      446.970    0.0877494
     0.910598     0.490874      447.764    0.0828284
     0.924122     0.490874      448.554    0.0773274
     0.936327     0.490874      449.389    0.0713977
     0.947243     0.490874      449.801    0.0683646
     0.956899     0.490874      449.449    0.0745053
     0.965319     0.490874      448.569    0.0824599
     0.972523     0.490874      447.443    0.0778685
     0.978567     0.490874      446.035    0.0647585
     0.983589     0.490874      444.304    0.0527801
     0.987668     0.490874      442.487    0.0437895
     0.990765     0.490874      440.929    0.0402808
     0.993061     0.490874      439.667    0.0462110
     0.994808     0.490874      438.602    0.0579094
     0.996168     0.490874      437.701    0.0708340
     0.997251     0.490874      436.945    0.0829848
     0.998128     0.490874      436.317    0.0937396
     0.998842     0.490874      435.800     0.102955
     0.999417     0.490874      435.382     0.110606
     0.999861     0.490874      435.058     0.116644
      1.00019     0.490874      434.819     0.121143
      1.00046     0.490874      434.623     0.124876
      1.00071     0.490874      434.438     0.128430
     0.400260     0.458149      428.057     0.549340
     0.442229     0.458149      428.944     0.447922
     0.482450     0.458149      429.790     0.368413
     0.521026     0.458149      432.028     0.300754
     0.558060     0.458149      432.489     0.253894
     0.593637     0.458149      430.515     0.224626
     0.627809     0.458149      431.215     0.199501
     0.660583     0.458149      434.530     0.178527
     0.691917     0.458149      437.891     0.157884
     0.721641     0.458149      440.007     0.140460
     0.749417     0.458149      440.953     0.127396
     0.775293     0.458149      441.788     0.117468
     0.799374     0.458149      443.336     0.109916
     0.821755     0.458149      444.723     0.103879
     0.842515     0.458149      445.604    0.0986139
     0.861725     0.458149      446.673    0.0945896
     0.879442     0.458149      448.181    0.0909682
