#   NMOD   LOG(T)      H/HE      LOG L/Ls    LOG TE    LOG TC  LOG RHOc     TMAX     MTMAX     M-CC    M-HEC      M-CE     L-PP      L-CNO       L-3A       L-GRA    HE_SUP  LOGTce   GICO    R/Rsun  LOG(g)   M/Msun      mdot   log (L+Lacc)/Ls  Lacc/Ls      Lacc/L      log tkh   log tacc   log t(d)   log t(li6)   log t(li7)    t_conv(glob)    RCE/Rtot      CP_T     Mix.Len.
   469  7.23300851  0.72503E+00   0.41353   3.77652   7.09483   1.82651   0.00000   0.00000  0.00000  0.00000   2.43022  0.147E+00  0.485E-02  0.000E+00  0.848E+00  0.2610  6.1078  0.0000   1.5031  4.1738  1.230000  0.000E+00  4.13527E-01  0.00000E+00  0.00000E+00    6.78399  -99.00000  -99.00000  -99.00000  -99.00000        5.068416E-02    0.77858  4.837189E+45  2.000000E+00
   470  7.23387967  0.72503E+00   0.41280   3.77600   7.09639   1.82862   0.00000   0.00000  0.00000  0.00000   2.43152  0.152E+00  0.518E-02  0.000E+00  0.843E+00  0.2610  6.0943  0.0000   1.5054  4.1724  1.230000  0.000E+00  4.12796E-01  0.00000E+00  0.00000E+00    6.78405  -99.00000  -99.00000  -99.00000  -99.00000        4.725226E-02    0.78361  4.894737E+45  2.000000E+00
   471  7.23518315  0.72502E+00   0.41709   3.77703   7.09876   1.83169   0.00000   0.00000  0.00000  0.00000   2.43152  0.158E+00  0.566E-02  0.000E+00  0.837E+00  0.2610  6.1002  0.0000   1.5057  4.1723  1.230000  0.000E+00  4.17087E-01  0.00000E+00  0.00000E+00    6.77967  -99.00000  -99.00000  -99.00000  -99.00000        4.976696E-02    0.78123  4.372815E+45  2.000000E+00
   472  7.23578944  0.72502E+00   0.41863   3.77745   7.09987   1.83310   0.00000   0.00000  0.00000  0.00000   2.43152  0.160E+00  0.590E-02  0.000E+00  0.834E+00  0.2610  6.1028  0.0000   1.5055  4.1724  1.230000  0.000E+00  4.18630E-01  0.00000E+00  0.00000E+00    6.77820  -99.00000  -99.00000  -99.00000  -99.00000        5.217249E-02    0.78026  4.397356E+45  2.000000E+00
   473  7.23657418  0.72502E+00   0.42039   3.77796   7.10131   1.83489   0.00000   0.00000  0.00000  0.00000   2.43282  0.164E+00  0.624E-02  0.000E+00  0.830E+00  0.2610  6.0855  0.0000   1.5050  4.1727  1.230000  0.000E+00  4.20388E-01  0.00000E+00  0.00000E+00    6.77659  -99.00000  -99.00000  -99.00000  -99.00000        4.522248E-02    0.78704  4.428496E+45  2.000000E+00
   474  7.23746511  0.72502E+00   0.42228   3.77854   7.10295   1.83687   0.00000   0.00000  0.00000  0.00000   2.43282  0.168E+00  0.664E-02  0.000E+00  0.825E+00  0.2610  6.0891  0.0000   1.5042  4.1731  1.230000  0.000E+00  4.22280E-01  0.00000E+00  0.00000E+00    6.77490  -99.00000  -99.00000  -99.00000  -99.00000        4.788420E-02    0.78573  3.890777E+45  2.000000E+00
   475  7.23840500  0.72502E+00   0.42194   3.77812   7.10469   1.83890   0.00000   0.00000  0.00000  0.00000   2.43347  0.174E+00  0.714E-02  0.000E+00  0.819E+00  0.2610  6.0841  0.0000   1.5066  4.1718  1.230000  0.000E+00  4.21937E-01  0.00000E+00  0.00000E+00    6.77457  -99.00000  -99.00000  -99.00000  -99.00000        4.419531E-02    0.78738  3.942764E+45  2.000000E+00
   476  7.23981104  0.72502E+00   0.42603   3.77918   7.10730   1.84183   0.00000   0.00000  0.00000  0.00000   2.43413  0.181E+00  0.787E-02  0.000E+00  0.811E+00  0.2610  6.0791  0.0000   1.5063  4.1719  1.230000  0.000E+00  4.26032E-01  0.00000E+00  0.00000E+00    6.77056  -99.00000  -99.00000  -99.00000  -99.00000        4.289693E-02    0.78930  3.715579E+45  2.000000E+00
   477  7.24049619  0.72501E+00   0.42755   3.77964   7.10858   1.84324   0.00000   0.00000  0.00000  0.00000   2.43413  0.185E+00  0.826E-02  0.000E+00  0.807E+00  0.2610  6.0820  0.0000   1.5058  4.1722  1.230000  0.000E+00  4.27546E-01  0.00000E+00  0.00000E+00    6.76920  -99.00000  -99.00000  -99.00000  -99.00000        4.651087E-02    0.78826  3.460344E+45  2.000000E+00
   478  7.24139949  0.72501E+00   0.42933   3.78022   7.11026   1.84504   0.00000   0.00000  0.00000  0.00000   2.43478  0.189E+00  0.881E-02  0.000E+00  0.801E+00  0.2610  6.0736  0.0000   1.5048  4.1728  1.230000  0.000E+00  4.29329E-01  0.00000E+00  0.00000E+00    6.76768  -99.00000  -99.00000  -99.00000  -99.00000        4.132012E-02    0.79153  3.489256E+45  2.000000E+00
   479  7.24241068  0.72501E+00   0.43110   3.78083   7.11214   1.84700   0.00000   0.00000  0.00000  0.00000   2.43478  0.195E+00  0.947E-02  0.000E+00  0.795E+00  0.2610  6.0777  0.0000   1.5037  4.1734  1.230000  0.000E+00  4.31101E-01  0.00000E+00  0.00000E+00    6.76625  -99.00000  -99.00000  -99.00000  -99.00000        5.277704E-02    0.79012  3.244686E+45  2.000000E+00
   480  7.24354884  0.72501E+00   0.43141   3.78060   7.11426   1.84912   0.00000   0.00000  0.00000  0.00000   2.43608  0.202E+00  0.103E-01  0.000E+00  0.786E+00  0.2610  6.0588  0.0000   1.5058  4.1722  1.230000  0.000E+00  4.31413E-01  0.00000E+00  0.00000E+00    6.76532  -99.00000  -99.00000  -99.00000  -99.00000        3.782521E-02    0.79695  3.297945E+45  2.000000E+00
   481  7.24525050  0.72500E+00   0.43529   3.78178   7.11741   1.85212   0.00000   0.00000  0.00000  0.00000   2.43673  0.212E+00  0.116E-01  0.000E+00  0.775E+00  0.2610  6.0521  0.0000   1.5043  4.1731  1.230000  0.000E+00  4.35292E-01  0.00000E+00  0.00000E+00    6.76187  -99.00000  -99.00000  -99.00000  -99.00000        3.623296E-02    0.79956  2.806308E+45  2.000000E+00
   482  7.24612529  0.72500E+00   0.43685   3.78233   7.11903   1.85362   0.00000   0.00000  0.00000  0.00000   2.43673  0.217E+00  0.124E-01  0.000E+00  0.769E+00  0.2610  6.0558  0.0000   1.5032  4.1737  1.230000  0.000E+00  4.36845E-01  0.00000E+00  0.00000E+00    6.76063  -99.00000  -99.00000  -99.00000  -99.00000        3.749318E-02    0.79831  2.565959E+45  2.000000E+00
   483  7.24724908  0.72500E+00   0.43854   3.78299   7.12110   1.85548   0.00000   0.00000  0.00000  0.00000   2.43738  0.224E+00  0.134E-01  0.000E+00  0.761E+00  0.2610  6.0452  0.0000   1.5016  4.1746  1.230000  0.000E+00  4.38538E-01  0.00000E+00  0.00000E+00    6.75941  -99.00000  -99.00000  -99.00000  -99.00000        3.463905E-02    0.80235  2.592777E+45  2.000000E+00
   484  7.24857311  0.72500E+00   0.43924   3.78294   7.12350   1.85757   0.00000   0.00000  0.00078  0.00000   2.43803  0.233E+00  0.148E-01  0.000E+00  0.750E+00  0.2610  6.0372  0.0000   1.5031  4.1738  1.230000  0.000E+00  4.39236E-01  0.00000E+00  0.00000E+00    6.75827  -99.00000  -99.00000  -99.00000  -99.00000        3.335763E-02    0.80505  2.378845E+45  2.000000E+00
   485  7.25055161  0.72499E+00   0.44265   3.78418   7.12702   1.86051   0.00000   0.00000  0.00260  0.00000   2.43803  0.245E+00  0.170E-01  0.000E+00  0.735E+00  0.2610  6.0460  0.0013   1.5005  4.1753  1.230000  0.000E+00  4.42648E-01  0.00000E+00  0.00000E+00    6.75562  -99.00000  -99.00000  -99.00000  -99.00000        4.303123E-02    0.80217  2.167491E+45  2.000000E+00
   486  7.25170702  0.72498E+00   0.44423   3.78486   7.12904   1.86218   0.00000   0.00000  0.00520  0.00000   2.43868  0.252E+00  0.184E-01  0.000E+00  0.726E+00  0.2610  6.0334  0.0052   1.4985  4.1764  1.230000  0.000E+00  4.44227E-01  0.00000E+00  0.00000E+00    6.75461  -99.00000  -99.00000  -99.00000  -99.00000        3.290054E-02    0.80690  2.191498E+45  2.000000E+00
   487  7.25316685  0.72498E+00   0.44584   3.78566   7.13154   1.86419   0.00000   0.00000  0.00781  0.00000   2.43868  0.261E+00  0.204E-01  0.000E+00  0.715E+00  0.2610  6.0393  0.0078   1.4957  4.1780  1.230000  0.000E+00  4.45839E-01  0.00000E+00  0.00000E+00    6.75380  -99.00000  -99.00000  -99.00000  -99.00000        4.151016E-02    0.80505  1.966381E+45  2.000000E+00
   488  7.25497118  0.72498E+00   0.44703   3.78603   7.13456   1.86650   0.00000   0.00000  0.01301  0.00000   2.43933  0.273E+00  0.231E-01  0.000E+00  0.699E+00  0.2610  6.0305  0.0130   1.4952  4.1783  1.230000  0.000E+00  4.47027E-01  0.00000E+00  0.00000E+00    6.75276  -99.00000  -99.00000  -99.00000  -99.00000        3.730319E-02    0.80825  2.011510E+45  2.000000E+00
   489  7.25729847  0.72498E+00   0.44936   3.78721   7.13833   1.86922   0.00000   0.00000  0.01821  0.00000   2.44030  0.288E+00  0.270E-01  0.000E+00  0.680E+00  0.2610  6.0091  0.0182   1.4911  4.1807  1.230000  0.000E+00  4.49364E-01  0.00000E+00  0.00000E+00    6.75162  -99.00000  -99.00000  -99.00000  -99.00000        2.706665E-02    0.81608  1.803142E+45  2.000000E+00
   490  7.25928059  0.72497E+00   0.45086   3.78826   7.14144   1.87133   0.00000   0.00000  0.03122  0.00000   2.44063  0.301E+00  0.308E-01  0.000E+00  0.662E+00  0.2610  6.0056  0.0312   1.4865  4.1834  1.230000  0.000E+00  4.50865E-01  0.00000E+00  0.00000E+00    6.75146  -99.00000  -99.00000  -99.00000  -99.00000        2.636939E-02    0.81776  1.466892E+45  2.000000E+00
   491  7.26190773  0.72497E+00   0.45174   3.78889   7.14533   1.87384   0.00000   0.00000  0.04423  0.00000   2.44128  0.319E+00  0.364E-01  0.000E+00  0.639E+00  0.2610  5.9943  0.0442   1.4837  4.1850  1.230000  0.000E+00  4.51742E-01  0.00000E+00  0.00000E+00    6.75141  -99.00000  -99.00000  -99.00000  -99.00000        2.463201E-02    0.82182  1.513870E+45  2.000000E+00
   492  7.26433946  0.72497E+00   0.45287   3.79011   7.14879   1.87599   0.00000   0.00000  0.05464  0.00000   2.44161  0.335E+00  0.423E-01  0.000E+00  0.618E+00  0.2610  5.9902  0.0546   1.4773  4.1888  1.230000  0.000E+00  4.52868E-01  0.00000E+00  0.00000E+00    6.75216  -99.00000  -99.00000  -99.00000  -99.00000        2.397274E-02    0.82379  1.187228E+45  2.000000E+00
   493  7.26756832  0.72496E+00   0.45279   3.79093   7.15302   1.87822   0.00000   0.00000  0.07481  0.00000   2.44226  0.356E+00  0.510E-01  0.000E+00  0.587E+00  0.2609  5.9757  0.0650   1.4716  4.1921  1.230000  0.000E+00  4.52792E-01  0.00000E+00  0.00000E+00    6.75391  -99.00000  -99.00000  -99.00000  -99.00000        2.157646E-02    0.82906  1.230808E+45  2.000000E+00
   494  7.27018884  0.72496E+00   0.45271   3.79212   7.15634   1.87978   0.00000   0.00000  0.09432  0.00000   2.44258  0.375E+00  0.591E-01  0.000E+00  0.562E+00  0.2609  5.9687  0.0846   1.4635  4.1970  1.230000  0.000E+00  4.52709E-01  0.00000E+00  0.00000E+00    6.75641  -99.00000  -99.00000  -99.00000  -99.00000        2.025970E-02    0.83208  1.022481E+45  2.000000E+00
   495  7.27360563  0.72495E+00   0.45124   3.79348   7.16035   1.88124   0.00000   0.00000  0.11449  0.00000   2.44291  0.398E+00  0.706E-01  0.000E+00  0.527E+00  0.2609  5.9623  0.1041   1.4519  4.2039  1.230000  0.000E+00  4.51243E-01  0.00000E+00  0.00000E+00    6.76133  -99.00000  -99.00000  -99.00000  -99.00000        2.714936E-02    0.83521  9.350565E+44  2.000000E+00
   496  7.27731282  0.72495E+00   0.44828   3.79421   7.16437   1.88225   0.00000   0.00000  0.13530  0.00000   2.44323  0.423E+00  0.846E-01  0.000E+00  0.488E+00  0.2609  5.9583  0.1249   1.4421  4.2098  1.230000  0.000E+00  4.48284E-01  0.00000E+00  0.00000E+00    6.76723  -99.00000  -99.00000  -99.00000  -99.00000        1.931951E-02    0.83737  7.437090E+44  2.000000E+00
   497  7.27980090  0.72495E+00   0.44605   3.79505   7.16690   1.88261   0.00000   0.00000  0.15612  0.00000   2.44356  0.441E+00  0.949E-01  0.000E+00  0.460E+00  0.2609  5.9441  0.1457   1.4328  4.2153  1.230000  0.000E+00  4.46055E-01  0.00000E+00  0.00000E+00    6.77225  -99.00000  -99.00000  -99.00000  -99.00000        1.686700E-02    0.84258  6.490222E+44  2.000000E+00
   498  7.28202041  0.72494E+00   0.44350   3.79572   7.16899   1.88261   0.00000   0.00000  0.16652  0.00000   2.44356  0.458E+00  0.105E+00  0.000E+00  0.434E+00  0.2609  5.9505  0.1665   1.4242  4.2206  1.230000  0.000E+00  4.43505E-01  0.00000E+00  0.00000E+00    6.77742  -99.00000  -99.00000  -99.00000  -99.00000        1.971257E-02    0.84143  6.586937E+44  2.000000E+00
   499  7.28375332  0.72494E+00   0.44125   3.79621   7.17053   1.88255   0.00000   0.00000  0.17693  0.00000   2.44372  0.468E+00  0.112E+00  0.000E+00  0.417E+00  0.2609  5.9434  0.1769   1.4173  4.2248  1.230000  0.000E+00  4.41254E-01  0.00000E+00  0.00000E+00    6.78177  -99.00000  -99.00000  -99.00000  -99.00000        1.511184E-02    0.84423  7.692949E+44  2.000000E+00
   500  7.28528768  0.72494E+00   0.43905   3.79660   7.17183   1.88243   0.00000   0.00000  0.18734  0.00000   2.44372  0.478E+00  0.119E+00  0.000E+00  0.400E+00  0.2609  5.9474  0.1873   1.4112  4.2286  1.230000  0.000E+00  4.39052E-01  0.00000E+00  0.00000E+00    6.78587  -99.00000  -99.00000  -99.00000  -99.00000        1.626709E-02    0.84360  5.655485E+44  2.000000E+00
   501  7.28667670  0.72494E+00   0.43690   3.79694   7.17297   1.88223   0.00000   0.00000  0.19775  0.00000   2.44388  0.487E+00  0.126E+00  0.000E+00  0.384E+00  0.2609  5.9383  0.1977   1.4055  4.2321  1.230000  0.000E+00  4.36900E-01  0.00000E+00  0.00000E+00    6.78977  -99.00000  -99.00000  -99.00000  -99.00000        1.408293E-02    0.84684  5.700597E+44  2.000000E+00
   502  7.28796333  0.72493E+00   0.43476   3.79723   7.17397   1.88197   0.00000   0.00000  0.20816  0.00000   2.44388  0.497E+00  0.132E+00  0.000E+00  0.368E+00  0.2609  5.9413  0.2082   1.4001  4.2354  1.230000  0.000E+00  4.34762E-01  0.00000E+00  0.00000E+00    6.79356  -99.00000  -99.00000  -99.00000  -99.00000        1.449077E-02    0.84644  5.220079E+44  2.000000E+00
   503  7.28916369  0.72493E+00   0.43264   3.79749   7.17487   1.88166   0.00000   0.00000  0.20816  0.00000   2.44388  0.506E+00  0.138E+00  0.000E+00  0.353E+00  0.2609  5.9440  0.2186   1.3951  4.2385  1.230000  0.000E+00  4.32636E-01  0.00000E+00  0.00000E+00    6.79725  -99.00000  -99.00000  -99.00000  -99.00000        1.507229E-02    0.84612  5.252460E+44  2.000000E+00
   504  7.29028982  0.72493E+00   0.43057   3.79771   7.17568   1.88144   0.00000   0.00000  0.21856  0.00000   2.44388  0.506E+00  0.143E+00  0.000E+00  0.349E+00  0.2609  5.9464  0.2186   1.3904  4.2415  1.230000  0.000E+00  4.30566E-01  0.00000E+00  0.00000E+00    6.80081  -99.00000  -99.00000  -99.00000  -99.00000        1.670909E-02    0.84585  4.769163E+44  2.000000E+00
   505  7.29137499  0.72493E+00   0.42848   3.79791   7.17643   1.88112   0.00000   0.00000  0.21856  0.00000   2.44405  0.517E+00  0.148E+00  0.000E+00  0.333E+00  0.2609  5.9352  0.2290   1.3857  4.2444  1.230000  0.000E+00  4.28476E-01  0.00000E+00  0.00000E+00    6.80434  -99.00000  -99.00000  -99.00000  -99.00000        1.323963E-02    0.84956  4.793513E+44  2.000000E+00
   506  7.29241113  0.72492E+00   0.42642   3.79809   7.17712   1.88088   0.00000   0.00000  0.22897  0.00000   2.44405  0.516E+00  0.153E+00  0.000E+00  0.329E+00  0.2609  5.9373  0.2290   1.3813  4.2471  1.230000  0.000E+00  4.26416E-01  0.00000E+00  0.00000E+00    6.80779  -99.00000  -99.00000  -99.00000  -99.00000        1.343152E-02    0.84938  4.313495E+44  2.000000E+00
   507  7.29341468  0.72492E+00   0.42433   3.79825   7.17777   1.88054   0.00000   0.00000  0.22897  0.00000   2.44405  0.528E+00  0.158E+00  0.000E+00  0.312E+00  0.2609  5.9391  0.2394   1.3770  4.2499  1.230000  0.000E+00  4.24334E-01  0.00000E+00  0.00000E+00    6.81123  -99.00000  -99.00000  -99.00000  -99.00000        1.362686E-02    0.84925  4.331744E+44  2.000000E+00
   508  7.29437624  0.72492E+00   0.42229   3.79839   7.17835   1.88025   0.00000   0.00000  0.22897  0.00000   2.44405  0.527E+00  0.162E+00  0.000E+00  0.309E+00  0.2609  5.9408  0.2394   1.3728  4.2525  1.230000  0.000E+00  4.22288E-01  0.00000E+00  0.00000E+00    6.81459  -99.00000  -99.00000  -99.00000  -99.00000        1.384456E-02    0.84915  5.307551E+44  2.000000E+00
   509  7.29531424  0.72491E+00   0.42025   3.79852   7.17891   1.88001   0.00000   0.00000  0.22897  0.00000   2.44405  0.527E+00  0.166E+00  0.000E+00  0.304E+00  0.2609  5.9424  0.2394   1.3688  4.2550  1.230000  0.000E+00  4.20247E-01  0.00000E+00  0.00000E+00    6.81791  -99.00000  -99.00000  -99.00000  -99.00000        1.411147E-02    0.84906  4.364860E+44  2.000000E+00
   510  7.29623142  0.72491E+00   0.41821   3.79864   7.17943   1.87979   0.00000   0.00000  0.22897  0.00000   2.44405  0.528E+00  0.170E+00  0.000E+00  0.299E+00  0.2609  5.9439  0.2394   1.3649  4.2575  1.230000  0.000E+00  4.18214E-01  0.00000E+00  0.00000E+00    6.82119  -99.00000  -99.00000  -99.00000  -99.00000        1.445358E-02    0.84900  4.380001E+44  2.000000E+00
   511  7.29713179  0.72491E+00   0.41618   3.79874   7.17993   1.87959   0.00000   0.00000  0.22897  0.00000   2.44405  0.530E+00  0.174E+00  0.000E+00  0.293E+00  0.2609  5.9453  0.2394   1.3610  4.2600  1.230000  0.000E+00  4.16181E-01  0.00000E+00  0.00000E+00    6.82446  -99.00000  -99.00000  -99.00000  -99.00000        1.495658E-02    0.84896  4.394158E+44  2.000000E+00
   512  7.29801589  0.72490E+00   0.41415   3.79884   7.18040   1.87939   0.00000   0.00000  0.22897  0.00000   2.44405  0.533E+00  0.178E+00  0.000E+00  0.287E+00  0.2609  5.9466  0.2394   1.3572  4.2624  1.230000  0.000E+00  4.14148E-01  0.00000E+00  0.00000E+00    6.82770  -99.00000  -99.00000  -99.00000  -99.00000        1.603295E-02    0.84894  4.407465E+44  2.000000E+00
   513  7.29888399  0.72490E+00   0.41212   3.79893   7.18084   1.87920   0.00000   0.00000  0.22897  0.00000   2.44421  0.535E+00  0.181E+00  0.000E+00  0.281E+00  0.2609  5.9336  0.2394   1.3535  4.2648  1.230000  0.000E+00  4.12120E-01  0.00000E+00  0.00000E+00    6.83092  -99.00000  -99.00000  -99.00000  -99.00000        1.230159E-02    0.85304  4.419981E+44  2.000000E+00
   514  7.29973828  0.72489E+00   0.41009   3.79901   7.18127   1.87900   0.00000   0.00000  0.22897  0.00000   2.44421  0.538E+00  0.185E+00  0.000E+00  0.274E+00  0.2609  5.9347  0.2394   1.3498  4.2672  1.230000  0.000E+00  4.10094E-01  0.00000E+00  0.00000E+00    6.83412  -99.00000  -99.00000  -99.00000  -99.00000        1.235718E-02    0.85305  3.931724E+44  2.000000E+00
   515  7.30057976  0.72489E+00   0.40806   3.79908   7.18167   1.87881   0.00000   0.00000  0.23938  0.00000   2.44421  0.541E+00  0.188E+00  0.000E+00  0.267E+00  0.2609  5.9358  0.2394   1.3462  4.2695  1.230000  0.000E+00  4.08063E-01  0.00000E+00  0.00000E+00    6.83731  -99.00000  -99.00000  -99.00000  -99.00000        1.240629E-02    0.85308  3.941498E+44  2.000000E+00
   516  7.30140683  0.72489E+00   0.40600   3.79914   7.18206   1.87850   0.00000   0.00000  0.23938  0.00000   2.44421  0.557E+00  0.192E+00  0.000E+00  0.248E+00  0.2609  5.9368  0.2498   1.3427  4.2718  1.230000  0.000E+00  4.06005E-01  0.00000E+00  0.00000E+00    6.84052  -99.00000  -99.00000  -99.00000  -99.00000        1.244311E-02    0.85314  3.950193E+44  2.000000E+00
   517  7.30220904  0.72489E+00   0.40398   3.79919   7.18243   1.87821   0.00000   0.00000  0.23938  0.00000   2.44421  0.558E+00  0.195E+00  0.000E+00  0.244E+00  0.2609  5.9376  0.2498   1.3393  4.2740  1.230000  0.000E+00  4.03978E-01  0.00000E+00  0.00000E+00    6.84365  -99.00000  -99.00000  -99.00000  -99.00000        1.247294E-02    0.85321  3.958151E+44  2.000000E+00
   518  7.30299911  0.72488E+00   0.40196   3.79923   7.18277   1.87794   0.00000   0.00000  0.23938  0.00000   2.44421  0.560E+00  0.198E+00  0.000E+00  0.239E+00  0.2609  5.9384  0.2498   1.3359  4.2762  1.230000  0.000E+00  4.01957E-01  0.00000E+00  0.00000E+00    6.84676  -99.00000  -99.00000  -99.00000  -99.00000        1.249669E-02    0.85329  4.469690E+44  2.000000E+00
   519  7.30377954  0.72488E+00   0.39994   3.79926   7.18309   1.87768   0.00000   0.00000  0.23938  0.00000   2.44421  0.562E+00  0.201E+00  0.000E+00  0.234E+00  0.2609  5.9392  0.2498   1.3326  4.2783  1.230000  0.000E+00  3.99939E-01  0.00000E+00  0.00000E+00    6.84986  -99.00000  -99.00000  -99.00000  -99.00000        1.251380E-02    0.85339  3.972440E+44  2.000000E+00
   520  7.30455165  0.72487E+00   0.39792   3.79929   7.18341   1.87743   0.00000   0.00000  0.23938  0.00000   2.44421  0.565E+00  0.204E+00  0.000E+00  0.228E+00  0.2609  5.9399  0.2498   1.3293  4.2805  1.230000  0.000E+00  3.97922E-01  0.00000E+00  0.00000E+00    6.85294  -99.00000  -99.00000  -99.00000  -99.00000        1.252334E-02    0.85350  3.978795E+44  2.000000E+00
   521  7.30531621  0.72487E+00   0.39591   3.79931   7.18370   1.87718   0.00000   0.00000  0.23938  0.00000   2.44421  0.567E+00  0.207E+00  0.000E+00  0.223E+00  0.2609  5.9405  0.2498   1.3261  4.2826  1.230000  0.000E+00  3.95907E-01  0.00000E+00  0.00000E+00    6.85601  -99.00000  -99.00000  -99.00000  -99.00000        1.252566E-02    0.85362  3.984681E+44  2.000000E+00
   522  7.30607351  0.72487E+00   0.39389   3.79933   7.18399   1.87694   0.00000   0.00000  0.23938  0.00000   2.44421  0.570E+00  0.209E+00  0.000E+00  0.217E+00  0.2609  5.9411  0.2498   1.3230  4.2846  1.230000  0.000E+00  3.93892E-01  0.00000E+00  0.00000E+00    6.85906  -99.00000  -99.00000  -99.00000  -99.00000        1.252135E-02    0.85375  3.990120E+44  2.000000E+00
   523  7.30682397  0.72486E+00   0.39188   3.79934   7.18426   1.87670   0.00000   0.00000  0.23938  0.00000   2.44421  0.573E+00  0.212E+00  0.000E+00  0.211E+00  0.2609  5.9417  0.2498   1.3198  4.2867  1.230000  0.000E+00  3.91879E-01  0.00000E+00  0.00000E+00    6.86210  -99.00000  -99.00000  -99.00000  -99.00000        1.251042E-02    0.85390  3.995107E+44  2.000000E+00
   524  7.30756826  0.72486E+00   0.38987   3.79934   7.18452   1.87645   0.00000   0.00000  0.23938  0.00000   2.44421  0.576E+00  0.214E+00  0.000E+00  0.206E+00  0.2609  5.9422  0.2498   1.3168  4.2887  1.230000  0.000E+00  3.89867E-01  0.00000E+00  0.00000E+00    6.86513  -99.00000  -99.00000  -99.00000  -99.00000        1.249224E-02    0.85405  3.999606E+44  2.000000E+00
   525  7.30830699  0.72485E+00   0.38786   3.79934   7.18477   1.87621   0.00000   0.00000  0.23938  0.00000   2.44421  0.580E+00  0.217E+00  0.000E+00  0.200E+00  0.2609  5.9426  0.2498   1.3137  4.2907  1.230000  0.000E+00  3.87856E-01  0.00000E+00  0.00000E+00    6.86814  -99.00000  -99.00000  -99.00000  -99.00000        1.246834E-02    0.85421  4.003685E+44  2.000000E+00
   526  7.30904038  0.72485E+00   0.38585   3.79934   7.18501   1.87597   0.00000   0.00000  0.23938  0.00000   2.44421  0.583E+00  0.219E+00  0.000E+00  0.194E+00  0.2609  5.9430  0.2498   1.3107  4.2927  1.230000  0.000E+00  3.85846E-01  0.00000E+00  0.00000E+00    6.87114  -99.00000  -99.00000  -99.00000  -99.00000        1.243910E-02    0.85439  4.007358E+44  2.000000E+00
   527  7.30976897  0.72485E+00   0.38384   3.79933   7.18524   1.87572   0.00000   0.00000  0.23938  0.00000   2.44421  0.586E+00  0.221E+00  0.000E+00  0.189E+00  0.2609  5.9434  0.2498   1.3078  4.2947  1.230000  0.000E+00  3.83837E-01  0.00000E+00  0.00000E+00    6.87413  -99.00000  -99.00000  -99.00000  -99.00000        1.240537E-02    0.85457  4.010642E+44  2.000000E+00
   528  7.31049308  0.72484E+00   0.38184   3.79931   7.18542   1.87541   0.00000   0.00000  0.23938  0.00000   2.44421  0.590E+00  0.223E+00  0.000E+00  0.183E+00  0.2609  5.9437  0.2498   1.3048  4.2966  1.230000  0.000E+00  3.81837E-01  0.00000E+00  0.00000E+00    6.87710  -99.00000  -99.00000  -99.00000  -99.00000        1.236880E-02    0.85476  4.523577E+44  2.000000E+00
   529  7.31121598  0.72484E+00   0.37990   3.79937   7.18563   1.87517   0.00000   0.00000  0.23938  0.00000   2.44421  0.593E+00  0.225E+00  0.000E+00  0.178E+00  0.2609  5.9434  0.2498   1.3016  4.2988  1.230000  0.000E+00  3.79905E-01  0.00000E+00  0.00000E+00    6.88013  -99.00000  -99.00000  -99.00000  -99.00000        1.222490E-02    0.85515  4.010812E+44  2.000000E+00
   530  7.31196275  0.72483E+00   0.37819   3.79982   7.18584   1.87491   0.00000   0.00000  0.23938  0.00000   2.44405  0.596E+00  0.227E+00  0.000E+00  0.173E+00  0.2609  5.9554  0.2498   1.2963  4.3023  1.230000  0.000E+00  3.78187E-01  0.00000E+00  0.00000E+00    6.88359  -99.00000  -99.00000  -99.00000  -99.00000        1.352971E-02    0.85250  3.982620E+44  2.000000E+00
   531  7.31283082  0.72483E+00   0.37540   3.79973   7.18607   1.87460   0.00000   0.00000  0.23938  0.00000   2.44405  0.601E+00  0.230E+00  0.000E+00  0.165E+00  0.2609  5.9555  0.2498   1.2927  4.3047  1.230000  0.000E+00  3.75403E-01  0.00000E+00  0.00000E+00    6.88760  -99.00000  -99.00000  -99.00000  -99.00000        1.335201E-02    0.85289  5.010995E+44  2.000000E+00
   532  7.31345338  0.72482E+00   0.37367   3.79972   7.18623   1.87438   0.00000   0.00000  0.23938  0.00000   2.44405  0.604E+00  0.231E+00  0.000E+00  0.161E+00  0.2609  5.9547  0.2498   1.2902  4.3064  1.230000  0.000E+00  3.73674E-01  0.00000E+00  0.00000E+00    6.89017  -99.00000  -99.00000  -99.00000  -99.00000        1.322888E-02    0.85307  4.489485E+44  2.000000E+00
   533  7.31417224  0.72482E+00   0.37157   3.79966   7.18640   1.87413   0.00000   0.00000  0.23938  0.00000   2.44405  0.608E+00  0.233E+00  0.000E+00  0.155E+00  0.2608  5.9548  0.2498   1.2874  4.3083  1.230000  0.000E+00  3.71574E-01  0.00000E+00  0.00000E+00    6.89321  -99.00000  -99.00000  -99.00000  -99.00000        1.315530E-02    0.85331  4.490705E+44  2.000000E+00
