#   NMOD   LOG(T)      H/HE      LOG L/Ls    LOG TE    LOG TC  LOG RHOc     TMAX     MTMAX     M-CC    M-HEC      M-CE     L-PP      L-CNO       L-3A       L-GRA    HE_SUP  LOGTce   GICO    R/Rsun  LOG(g)   M/Msun      mdot   log (L+Lacc)/Ls  Lacc/Ls      Lacc/L      log tkh   log tacc   log t(d)   log t(li6)   log t(li7)    t_conv(glob)    RCE/Rtot      CP_T     Mix.Len.
    15  0.00000000  0.72514E+00   2.40562   3.58968   5.47089  -3.47474   0.00000   0.00000  0.00000  0.00000   0.00000  0.216E-12  0.000E+00  0.000E+00  0.100E+01  0.2610  5.4709  2.4458  35.2126  1.4343  1.230000  0.000E+00  2.40562E+00  0.00000E+00  0.00000E+00    3.42218  -99.00000  -99.00000  -99.00000  -99.00000        2.026722E+00    0.00000  0.000000E+00  2.000000E+00
    16  0.00000000  0.72514E+00   2.39272   3.59046   5.47834  -3.45273   0.00000   0.00000  0.00000  0.00000   0.00000  0.321E-12  0.000E+00  0.000E+00  0.100E+01  0.2610  5.4783  2.4458  34.5700  1.4503  1.230000  0.000E+00  2.39272E+00  0.00000E+00  0.00000E+00    3.44308  -99.00000  -99.00000  -99.00000  -99.00000        2.021698E+00    0.00000  0.000000E+00  2.000000E+00
    17  0.00000000  0.72514E+00   2.38467   3.59096   5.48303  -3.43888   0.00000   0.00000  0.00000  0.00000   0.00000  0.411E-12  0.000E+00  0.000E+00  0.100E+01  0.2610  5.4830  2.4458  34.1719  1.4604  1.230000  0.000E+00  2.38467E+00  0.00000E+00  0.00000E+00    3.45616  -99.00000  -99.00000  -99.00000  -99.00000        2.018772E+00    0.00000  0.000000E+00  2.000000E+00
    18  0.00000000  0.72514E+00   2.37645   3.59146   5.48778  -3.42482   0.00000   0.00000  0.00000  0.00000   0.00000  0.528E-12  0.000E+00  0.000E+00  0.100E+01  0.2610  5.4878  2.4458  33.7727  1.4706  1.230000  0.000E+00  2.37645E+00  0.00000E+00  0.00000E+00    3.46948  -99.00000  -99.00000  -99.00000  -99.00000        2.015479E+00    0.00000  0.000000E+00  2.000000E+00
    19  0.00000000  0.72514E+00   2.37018   3.59249   5.49256  -3.41068   0.00000   0.00000  0.00000  0.00000   0.00000  0.675E-12  0.000E+00  0.000E+00  0.100E+01  0.2610  5.4926  2.4458  33.3708  1.4810  1.230000  0.000E+00  2.37018E+00  0.00000E+00  0.00000E+00    3.48095  -99.00000  -99.00000  -99.00000  -99.00000        2.009369E+00    0.00000  0.000000E+00  2.000000E+00
    20  0.00000000  0.72514E+00   2.36205   3.59299   5.49729  -3.39667   0.00000   0.00000  0.00000  0.00000   0.00000  0.865E-12  0.000E+00  0.000E+00  0.100E+01  0.2610  5.4973  2.4458  32.9837  1.4911  1.230000  0.000E+00  2.36205E+00  0.00000E+00  0.00000E+00    3.49415  -99.00000  -99.00000  -99.00000  -99.00000        2.005959E+00    0.00000  0.000000E+00  2.000000E+00
    21  0.00000000  0.72514E+00   2.35377   3.59348   5.50206  -3.38257   0.00000   0.00000  0.00000  0.00000   0.00000  0.111E-11  0.000E+00  0.000E+00  0.100E+01  0.2610  5.5021  2.4458  32.5974  1.5014  1.230000  0.000E+00  2.35377E+00  0.00000E+00  0.00000E+00    3.50755  -99.00000  -99.00000  -99.00000  -99.00000        2.003168E+00    0.00000  0.000000E+00  2.000000E+00
    22  1.25335204  0.72514E+00   2.34960   3.59373   5.50447  -3.37542   0.00000   0.00000  0.00000  0.00000   0.00000  0.126E-11  0.000E+00  0.000E+00  0.100E+01  0.2610  5.5045  2.4458  32.4041  1.5065  1.230000  0.000E+00  2.34960E+00  0.00000E+00  0.00000E+00    3.51429  -99.00000   15.59857   38.52928   40.82316        2.001538E+00    0.00000  1.512262E+47  2.000000E+00
    23  1.63650241  0.72514E+00   2.34348   3.59410   5.50801  -3.36494   0.00000   0.00000  0.00000  0.00000   0.00000  0.151E-11  0.000E+00  0.000E+00  0.100E+01  0.2610  5.5080  2.4458  32.1223  1.5141  1.230000  0.000E+00  2.34348E+00  0.00000E+00  0.00000E+00    3.52421  -99.00000   15.54821   38.42355   40.71680        1.999168E+00    0.00000  1.523570E+47  2.000000E+00
    24  1.91047899  0.72514E+00   2.33457   3.59463   5.51316  -3.34969   0.00000   0.00000  0.00000  0.00000   0.00000  0.198E-11  0.000E+00  0.000E+00  0.100E+01  0.2610  5.5132  2.4458  31.7170  1.5251  1.230000  0.000E+00  2.33457E+00  0.00000E+00  0.00000E+00    3.53863  -99.00000   15.47443   38.26867   40.56098        1.995893E+00    0.00000  1.540193E+47  2.000000E+00
